YEAR,MO,kt_avg,T2M_avg,WS10M_avg,State,kt_max,T2M_max,WS10M_max,kt_min,T2M_min,WS10M_min,unqid
2000,12,0.292048817,14.37463234,4.209481916,Alaska,0.66,43.53,17.07,0.16,0,0.42,2000_12_Alaska
2000,12,0.647718041,4.671505376,2.549617682,Arizona,0.8,15.69,7.22,0.2,0.02,0.68,2000_12_Arizona
2000,12,0.47235023,4.781267281,2.936313364,Arkansas,0.79,16.71,6.28,0.04,0.02,0.95,2000_12_Arkansas
2000,12,0.568673021,7.030227273,2.7425,California,0.78,20.74,8.87,0.08,0.01,0.7,2000_12_California
2000,12,0.585218894,5.96766129,3.686198157,Colorado,0.8,23.39,8.33,0.17,0,0.61,2000_12_Colorado
2000,12,0.496774194,5.228709677,3.357096774,Connecticut,0.75,11.31,6.39,0.12,0.25,1.43,2000_12_Connecticut
2000,12,0.507096774,3.568387097,3.868387097,Delaware,0.75,12.69,8.62,0.11,0.15,1.32,2000_12_Delaware
2000,12,0.548287841,15.08131514,4.156253102,Florida,0.77,24.52,11.09,0.02,0.06,0.84,2000_12_Florida
2000,12,0.463573201,5.461116625,3.046004963,Georgia,0.78,21.77,9.23,0.03,0.02,0.74,2000_12_Georgia
2000,12,0.511751152,8.957373272,2.506002304,Idaho,0.78,25.97,8.35,0.18,0.09,0.68,2000_12_Idaho
2000,12,0.45625,9.545181452,3.240040323,Illinois,0.78,21.01,6.93,0.11,0.03,0.74,2000_12_Illinois
2000,12,0.42655914,7.538387097,3.145698925,Indiana,0.78,19.38,7.32,0.07,0.02,0.76,2000_12_Indiana
2000,12,0.481693548,12.84822581,3.895967742,Iowa,0.77,23.48,9.96,0.06,0.05,1.15,2000_12_Iowa
2000,12,0.539984639,5.447081413,4.259431644,Kansas,0.77,22.02,12.36,0.12,0.01,1.09,2000_12_Kansas
2000,12,0.430645161,4.943806452,3.021903226,Kentucky,0.78,14.86,6.5,0.07,0,0.93,2000_12_Kentucky
2000,12,0.433508065,5.891491935,2.886048387,Louisiana,0.78,18.86,5.95,0.06,0.01,0.99,2000_12_Louisiana
2000,12,0.480806452,10.07360215,3.551639785,Maine,0.73,26.55,8.86,0.02,0.04,1.25,2000_12_Maine
2000,12,0.508225806,3.476612903,4.062903226,Maryland,0.75,14.33,10.51,0.1,0.11,1.07,2000_12_Maryland
2000,12,0.499677419,5.419892473,4.769677419,Massachusetts,0.74,12.96,11.62,0.12,0.16,1.2,2000_12_Massachusetts
2000,12,0.404193548,13.01115054,2.977419355,Michigan,0.76,25.93,7.71,0.08,0.07,0.91,2000_12_Michigan
2000,12,0.512007168,18.4120908,3.088052569,Minnesota,0.75,30.69,8.06,0.18,4.45,0.93,2000_12_Minnesota
2000,12,0.445260546,4.810124069,2.725483871,Mississippi,0.78,18.56,6.06,0.05,0.01,0.96,2000_12_Mississippi
2000,12,0.503616299,8.368251273,3.159677419,Missouri,0.79,21.01,6.85,0.1,0,1.03,2000_12_Missouri
2000,12,0.479001241,11.31667494,3.870334988,Montana,0.76,30.33,8.91,0.2,0.01,0.54,2000_12_Montana
2000,12,0.501500701,8.919228612,4.806395512,Nebraska,0.76,24.07,12.96,0.16,0,1.36,2000_12_Nebraska
2000,12,0.606774194,2.520322581,2.572664277,Nevada,0.78,9.93,8.72,0.17,0.01,0.51,2000_12_Nevada
2000,12,0.49,8.927580645,3.497419355,New Hampshire,0.73,19.13,6.82,0.17,0.15,1.34,2000_12_New Hampshire
2000,12,0.503225806,4.82016129,3.822903226,New Jersey,0.76,11.82,8.48,0.11,0.13,1.36,2000_12_New Jersey
2000,12,0.62383871,2.482354839,3.134021505,New Mexico,0.8,8.99,6.43,0.02,0.01,0.79,2000_12_New Mexico
2000,12,0.448166384,8.954550085,3.118556876,New York,0.75,26.02,7.53,0.09,0.05,0.8,2000_12_New York
2000,12,0.496198157,3.915483871,3.257903226,North Carolina,0.76,20.63,11.7,0.02,0.02,1.04,2000_12_North Carolina
2000,12,0.486429366,19.09684093,4.221757508,North Dakota,0.73,32.23,10.36,0.26,0.2,0.66,2000_12_North Dakota
2000,12,0.462392473,7.004462366,3.503897849,Ohio,0.78,18.33,8.25,0.14,0.05,0.91,2000_12_Ohio
2000,12,0.490221774,3.855262097,3.181854839,Oklahoma,0.79,15.33,6.98,0.08,0.02,1.05,2000_12_Oklahoma
2000,12,0.449305963,3.944203324,3.230596285,Oregon,0.75,12.34,9.47,0.1,0,0.76,2000_12_Oregon
2000,12,0.464692082,6.293020528,3.34457478,Pennsylvania,0.77,15.82,7.31,0.08,0.01,1.02,2000_12_Pennsylvania
2000,12,0.48078853,3.882007168,3.05344086,South Carolina,0.78,19.78,9.7,0.07,0.05,0.74,2000_12_South Carolina
2000,12,0.485994624,13.13072581,4.487540323,South Dakota,0.74,26.94,12.49,0.17,0.01,0.8,2000_12_South Dakota
2000,12,0.448456221,4.111175115,2.859585253,Tennessee,0.78,13.01,7.25,0.03,0,0.85,2000_12_Tennessee
2000,12,0.497543779,5.389124424,3.326884793,Texas,0.79,21.78,8.2,0.02,0,0.84,2000_12_Texas
2000,12,0.61398317,4.88286115,2.585119215,Utah,0.79,18.61,8.54,0.18,0.01,0.6,2000_12_Utah
2000,12,0.486935484,10.80846774,3.055645161,Vermont,0.72,24.91,6.6,0.04,1.88,1.04,2000_12_Vermont
2000,12,0.460591398,3.854946237,3.20077957,Virginia,0.77,13.96,8.53,0.03,0.01,0.86,2000_12_Virginia
2000,12,0.433194589,5.433975026,2.902622268,Washington,0.74,27,9.74,0.09,0.01,0.75,2000_12_Washington
2000,12,0.44797235,5.498202765,3.200092166,West Virginia,0.78,14.21,6.72,0.09,0.01,1.16,2000_12_West Virginia
2000,12,0.488353141,14.1479966,3.028641766,Wisconsin,0.76,25.09,5.75,0.15,0.26,0.81,2000_12_Wisconsin
2000,12,0.544205069,9.122557604,3.749182028,Wyoming,0.79,24.24,8.15,0.2,0.16,0.82,2000_12_Wyoming
2000,2,0.590229885,10.17721264,2.659568966,Alabama,0.78,19.66,5.08,0.12,0.05,0.73,2000_2_Alabama
2000,2,0.40006933,13.34499361,3.968404737,Alaska,0.72,40.37,15,0.01,0,0.34,2000_2_Alaska
2000,2,0.580625798,6.923320562,3.209157088,Arizona,0.81,18.22,6.87,0.18,0.01,1.05,2000_2_Arizona
2000,2,0.506576355,8.406133005,3.118472906,Arkansas,0.78,18.84,5.2,0.03,0.03,0.85,2000_2_Arkansas
2000,2,0.45846395,7.347797806,3.289945141,California,0.79,20.72,9.74,0.06,0.01,0.72,2000_2_California
2000,2,0.566416256,3.315197044,3.858374384,Colorado,0.81,14.85,8.47,0.13,0,0.76,2000_2_Colorado
2000,2,0.545517241,4.421034483,2.997586207,Connecticut,0.79,10.64,4.91,0.11,0.68,1.41,2000_2_Connecticut
2000,2,0.532068966,4.42,3.236896552,Delaware,0.76,11.84,5.47,0.15,0.19,1.34,2000_2_Delaware
2000,2,0.605145889,16.49503979,3.641803714,Florida,0.8,22.89,9.58,0.02,3.64,0.71,2000_2_Florida
2000,2,0.595013263,10.30965517,2.840371353,Georgia,0.78,20.49,7.35,0.08,0.06,1.02,2000_2_Georgia
2000,2,0.498362069,3.572438424,3.243423645,Idaho,0.81,16.32,8.54,0.2,0.01,0.71,2000_2_Idaho
2000,2,0.441810345,4.870021552,3.749116379,Illinois,0.79,15.74,6.95,0.09,0,1.51,2000_2_Illinois
2000,2,0.43256705,4.563601533,3.442950192,Indiana,0.77,15.62,5.78,0.04,0.04,1.43,2000_2_Indiana
