,0
571,"30.1,-98.6"
572,"31.1,-98.6"
573,"32.1,-98.6"
574,"33.1,-98.6"
575,"34.1,-98.6"
576,"35.1,-98.6"
577,"36.1,-98.6"
578,"37.1,-98.6"
579,"38.1,-98.6"
580,"39.1,-98.6"
581,"40.1,-98.6"
582,"41.1,-98.6"
583,"42.1,-98.6"
584,"43.1,-98.6"
585,"44.1,-98.6"
586,"45.1,-98.6"
587,"46.1,-98.6"
588,"47.1,-98.6"
589,"48.1,-98.6"
590,"23.1,-97.6"
591,"24.1,-97.6"
592,"25.1,-97.6"
593,"26.1,-97.6"
594,"27.1,-97.6"
595,"28.1,-97.6"
596,"29.1,-97.6"
597,"30.1,-97.6"
598,"31.1,-97.6"
599,"32.1,-97.6"
600,"33.1,-97.6"
601,"34.1,-97.6"
602,"35.1,-97.6"
603,"36.1,-97.6"
604,"37.1,-97.6"
605,"38.1,-97.6"
606,"39.1,-97.6"
607,"40.1,-97.6"
608,"41.1,-97.6"
609,"42.1,-97.6"
610,"43.1,-97.6"
611,"44.1,-97.6"
612,"45.1,-97.6"
613,"46.1,-97.6"
614,"47.1,-97.6"
615,"48.1,-97.6"
616,"23.1,-96.6"
617,"24.1,-96.6"
618,"25.1,-96.6"
619,"26.1,-96.6"
620,"27.1,-96.6"
621,"28.1,-96.6"
622,"29.1,-96.6"
623,"30.1,-96.6"
624,"31.1,-96.6"
625,"32.1,-96.6"
626,"33.1,-96.6"
627,"34.1,-96.6"
628,"35.1,-96.6"
629,"36.1,-96.6"
630,"37.1,-96.6"
631,"38.1,-96.6"
632,"39.1,-96.6"
633,"40.1,-96.6"
634,"41.1,-96.6"
635,"42.1,-96.6"
636,"43.1,-96.6"
637,"44.1,-96.6"
638,"45.1,-96.6"
639,"46.1,-96.6"
640,"47.1,-96.6"
641,"48.1,-96.6"
642,"29.1,-95.6"
643,"30.1,-95.6"
644,"31.1,-95.6"
645,"32.1,-95.6"
646,"33.1,-95.6"
647,"34.1,-95.6"
648,"35.1,-95.6"
649,"36.1,-95.6"
650,"37.1,-95.6"
651,"38.1,-95.6"
652,"39.1,-95.6"
653,"40.1,-95.6"
654,"41.1,-95.6"
655,"42.1,-95.6"
656,"43.1,-95.6"
657,"44.1,-95.6"
658,"45.1,-95.6"
659,"46.1,-95.6"
660,"47.1,-95.6"
661,"48.1,-95.6"
662,"29.1,-94.6"
663,"30.1,-94.6"
664,"31.1,-94.6"
665,"32.1,-94.6"
666,"33.1,-94.6"
667,"34.1,-94.6"
668,"35.1,-94.6"
669,"36.1,-94.6"
670,"37.1,-94.6"
671,"38.1,-94.6"
672,"39.1,-94.6"
673,"40.1,-94.6"
674,"41.1,-94.6"
675,"42.1,-94.6"
676,"43.1,-94.6"
677,"44.1,-94.6"
678,"45.1,-94.6"
679,"46.1,-94.6"
680,"47.1,-94.6"
681,"48.1,-94.6"
682,"29.1,-93.6"
683,"30.1,-93.6"
684,"31.1,-93.6"
685,"32.1,-93.6"
686,"33.1,-93.6"
687,"34.1,-93.6"
688,"35.1,-93.6"
689,"36.1,-93.6"
690,"37.1,-93.6"
691,"38.1,-93.6"
692,"39.1,-93.6"
693,"40.1,-93.6"
694,"41.1,-93.6"
695,"42.1,-93.6"
696,"43.1,-93.6"
697,"44.1,-93.6"
698,"45.1,-93.6"
699,"46.1,-93.6"
700,"47.1,-93.6"
701,"48.1,-93.6"
702,"29.1,-92.6"
703,"30.1,-92.6"
704,"31.1,-92.6"
705,"32.1,-92.6"
706,"33.1,-92.6"
707,"34.1,-92.6"
708,"35.1,-92.6"
709,"36.1,-92.6"
710,"37.1,-92.6"
711,"38.1,-92.6"
