Category,Resource,State,Year,Month,Value(thousand Mcf),state_year_month
Total consumption , natural gas , New Hampshire ,2010,12,4249.019, New Hampshire 201012
Total consumption , natural gas , New Hampshire ,2010,11,5594.117, New Hampshire 201011
Total consumption , natural gas , New Hampshire ,2010,10,2947.419, New Hampshire 201010
Total consumption , natural gas , New Hampshire ,2010,9,4535.016, New Hampshire 20109
Total consumption , natural gas , New Hampshire ,2010,8,4600.825, New Hampshire 20108
Total consumption , natural gas , New Hampshire ,2010,7,4510.246, New Hampshire 20107
Total consumption , natural gas , New Hampshire ,2010,6,3268.042, New Hampshire 20106
Total consumption , natural gas , New Hampshire ,2010,5,1894.464, New Hampshire 20105
Total consumption , natural gas , New Hampshire ,2010,4,691.651, New Hampshire 20104
Total consumption , natural gas , New Hampshire ,2010,3,1534.458, New Hampshire 20103
Total consumption , natural gas , New Hampshire ,2010,2,2091.25, New Hampshire 20102
Total consumption , natural gas , New Hampshire ,2010,1,3020.308, New Hampshire 20101
Total consumption , natural gas , New Hampshire ,2009,12,4894.643, New Hampshire 200912
Total consumption , natural gas , New Hampshire ,2009,11,3240.958, New Hampshire 200911
Total consumption , natural gas , New Hampshire ,2009,10,2714.679, New Hampshire 200910
Total consumption , natural gas , New Hampshire ,2009,9,2390.88, New Hampshire 20099
Total consumption , natural gas , New Hampshire ,2009,8,3232.34, New Hampshire 20098
Total consumption , natural gas , New Hampshire ,2009,7,2943.161, New Hampshire 20097
Total consumption , natural gas , New Hampshire ,2009,6,1948.874, New Hampshire 20096
Total consumption , natural gas , New Hampshire ,2009,5,3304.059, New Hampshire 20095
Total consumption , natural gas , New Hampshire ,2009,4,2912.846, New Hampshire 20094
Total consumption , natural gas , New Hampshire ,2009,3,1709.372, New Hampshire 20093
Total consumption , natural gas , New Hampshire ,2009,2,4090.581, New Hampshire 20092
Total consumption , natural gas , New Hampshire ,2009,1,4687.538, New Hampshire 20091
Total consumption , natural gas , New Hampshire ,2008,12,3676.078, New Hampshire 200812
Total consumption , natural gas , New Hampshire ,2008,11,4234.575, New Hampshire 200811
Total consumption , natural gas , New Hampshire ,2008,10,4012.246, New Hampshire 200810
Total consumption , natural gas , New Hampshire ,2008,9,4443.303, New Hampshire 20089
Total consumption , natural gas , New Hampshire ,2008,8,4144.036, New Hampshire 20088
Total consumption , natural gas , New Hampshire ,2008,7,4716.182, New Hampshire 20087
Total consumption , natural gas , New Hampshire ,2008,6,3306.152, New Hampshire 20086
Total consumption , natural gas , New Hampshire ,2008,5,3342.371, New Hampshire 20085
Total consumption , natural gas , New Hampshire ,2008,4,3340.386, New Hampshire 20084
Total consumption , natural gas , New Hampshire ,2008,3,4633.701, New Hampshire 20083
Total consumption , natural gas , New Hampshire ,2008,2,4456.595, New Hampshire 20082
Total consumption , natural gas , New Hampshire ,2008,1,4382.014, New Hampshire 20081
Total consumption , natural gas , New Hampshire ,2007,12,2679.662, New Hampshire 200712
Total consumption , natural gas , New Hampshire ,2007,11,2828.371, New Hampshire 200711
Total consumption , natural gas , New Hampshire ,2007,10,3258.498, New Hampshire 200710
Total consumption , natural gas , New Hampshire ,2007,9,5087.608, New Hampshire 20079
Total consumption , natural gas , New Hampshire ,2007,8,4580.28, New Hampshire 20078
Total consumption , natural gas , New Hampshire ,2007,7,4794.608, New Hampshire 20077
Total consumption , natural gas , New Hampshire ,2007,6,3259.024, New Hampshire 20076
Total consumption , natural gas , New Hampshire ,2007,5,2409.018, New Hampshire 20075
Total consumption , natural gas , New Hampshire ,2007,4,2984.335, New Hampshire 20074
Total consumption , natural gas , New Hampshire ,2007,3,1761.392, New Hampshire 20073
Total consumption , natural gas , New Hampshire ,2007,2,1726.6, New Hampshire 20072
Total consumption , natural gas , New Hampshire ,2007,1,3643.944, New Hampshire 20071
Total consumption , natural gas , New Hampshire ,2006,12,3984.582, New Hampshire 200612
Total consumption , natural gas , New Hampshire ,2006,11,2245.39, New Hampshire 200611
Total consumption , natural gas , New Hampshire ,2006,10,4757.878, New Hampshire 200610
Total consumption , natural gas , New Hampshire ,2006,9,4449.569, New Hampshire 20069
Total consumption , natural gas , New Hampshire ,2006,8,4265.477, New Hampshire 20068
Total consumption , natural gas , New Hampshire ,2006,7,3077.494, New Hampshire 20067
Total consumption , natural gas , New Hampshire ,2006,6,1613.957, New Hampshire 20066
Total consumption , natural gas , New Hampshire ,2006,5,1105.058, New Hampshire 20065
Total consumption , natural gas , New Hampshire ,2006,4,2310.435, New Hampshire 20064
Total consumption , natural gas , New Hampshire ,2006,3,4874.037, New Hampshire 20063
Total consumption , natural gas , New Hampshire ,2006,2,3993.895, New Hampshire 20062
Total consumption , natural gas , New Hampshire ,2006,1,4660.832, New Hampshire 20061
Total consumption , natural gas , New Hampshire ,2005,12,2641.02, New Hampshire 200512
Total consumption , natural gas , New Hampshire ,2005,11,3338.221, New Hampshire 200511
Total consumption , natural gas , New Hampshire ,2005,10,2878.893, New Hampshire 200510
Total consumption , natural gas , New Hampshire ,2005,9,3592.252, New Hampshire 20059
Total consumption , natural gas , New Hampshire ,2005,8,5093.345, New Hampshire 20058
Total consumption , natural gas , New Hampshire ,2005,7,4820.526, New Hampshire 20057
Total consumption , natural gas , New Hampshire ,2005,6,4603.907, New Hampshire 20056
Total consumption , natural gas , New Hampshire ,2005,5,4424.09, New Hampshire 20055
Total consumption , natural gas , New Hampshire ,2005,4,3493.385, New Hampshire 20054
Total consumption , natural gas , New Hampshire ,2005,3,3610.709, New Hampshire 20053
Total consumption , natural gas , New Hampshire ,2005,2,4138.407, New Hampshire 20052
Total consumption , natural gas , New Hampshire ,2005,1,3290.83, New Hampshire 20051
Total consumption , natural gas , New Hampshire ,2004,12,3494.66233, New Hampshire 200412
Total consumption , natural gas , New Hampshire ,2004,11,3934.84333, New Hampshire 200411
Total consumption , natural gas , New Hampshire ,2004,10,1920.13033, New Hampshire 200410
Total consumption , natural gas , New Hampshire ,2004,9,3673.11233, New Hampshire 20049
Total consumption , natural gas , New Hampshire ,2004,8,3285.49933, New Hampshire 20048
Total consumption , natural gas , New Hampshire ,2004,7,3174.17333, New Hampshire 20047
Total consumption , natural gas , New Hampshire ,2004,6,3457.04133, New Hampshire 20046
Total consumption , natural gas , New Hampshire ,2004,5,1256.62733, New Hampshire 20045
Total consumption , natural gas , New Hampshire ,2004,4,3927.72933, New Hampshire 20044
Total consumption , natural gas , New Hampshire ,2004,3,4070.23233, New Hampshire 20043
Total consumption , natural gas , New Hampshire ,2004,2,3763.53033, New Hampshire 20042
Total consumption , natural gas , New Hampshire ,2004,1,1774.66833, New Hampshire 20041
Total consumption , natural gas , New Hampshire ,2003,12,2071.523, New Hampshire 200312
Total consumption , natural gas , New Hampshire ,2003,11,1935.421, New Hampshire 200311
Total consumption , natural gas , New Hampshire ,2003,10,3511.721, New Hampshire 200310
Total consumption , natural gas , New Hampshire ,2003,9,3408.148, New Hampshire 20039
Total consumption , natural gas , New Hampshire ,2003,8,4815.216, New Hampshire 20038
Total consumption , natural gas , New Hampshire ,2003,7,3107.173, New Hampshire 20037
Total consumption , natural gas , New Hampshire ,2003,6,1137.309, New Hampshire 20036
Total consumption , natural gas , New Hampshire ,2003,5,1568.903, New Hampshire 20035
Total consumption , natural gas , New Hampshire ,2003,4,1544.087, New Hampshire 20034
Total consumption , natural gas , New Hampshire ,2003,3,2421.708, New Hampshire 20033
Total consumption , natural gas , New Hampshire ,2003,2,1389.258, New Hampshire 20032
Total consumption , natural gas , New Hampshire ,2003,1,1716.068, New Hampshire 20031
Total consumption , natural gas , New Hampshire ,2002,12,103.055, New Hampshire 200212
Total consumption , natural gas , New Hampshire ,2002,11,0, New Hampshire 200211
Total consumption , natural gas , New Hampshire ,2002,10,194.413, New Hampshire 200210
Total consumption , natural gas , New Hampshire ,2002,9,219.146, New Hampshire 20029
Total consumption , natural gas , New Hampshire ,2002,8,311.352, New Hampshire 20028
Total consumption , natural gas , New Hampshire ,2002,7,79.294, New Hampshire 20027
Total consumption , natural gas , New Hampshire ,2002,6,108.34, New Hampshire 20026
Total consumption , natural gas , New Hampshire ,2002,5,38.798, New Hampshire 20025
Total consumption , natural gas , New Hampshire ,2002,4,10.629, New Hampshire 20024
Total consumption , natural gas , New Hampshire ,2002,3,0.56, New Hampshire 20023
Total consumption , natural gas , New Hampshire ,2002,2,12.028, New Hampshire 20022
Total consumption , natural gas , New Hampshire ,2002,1,18.325, New Hampshire 20021
Total consumption , natural gas , New Hampshire ,2001,12,29.367, New Hampshire 200112
Total consumption , natural gas , New Hampshire ,2001,11,0.08, New Hampshire 200111
Total consumption , natural gas , New Hampshire ,2001,10,292.073, New Hampshire 200110
Total consumption , natural gas , New Hampshire ,2001,9,184.919, New Hampshire 20019
Total consumption , natural gas , New Hampshire ,2001,8,19.796, New Hampshire 20018
Total consumption , natural gas , New Hampshire ,2001,7,0.07, New Hampshire 20017
Total consumption , natural gas , New Hampshire ,2001,6,0.14, New Hampshire 20016
Total consumption , natural gas , New Hampshire ,2001,5,0.11, New Hampshire 20015
Total consumption , natural gas , New Hampshire ,2001,4,0.14, New Hampshire 20014
Total consumption , natural gas , New Hampshire ,2001,3,0.22, New Hampshire 20013
Total consumption , natural gas , New Hampshire ,2001,2,0.06, New Hampshire 20012
Total consumption , natural gas , New Hampshire ,2001,1,0.1, New Hampshire 20011
Total consumption , natural gas , New Jersey ,2017,7,25483.7, New Jersey 20177
Total consumption , natural gas , New Jersey ,2017,6,21426.341, New Jersey 20176
Total consumption , natural gas , New Jersey ,2017,5,19017.727, New Jersey 20175
Total consumption , natural gas , New Jersey ,2017,4,16692.442, New Jersey 20174
Total consumption , natural gas , New Jersey ,2017,3,22310.671, New Jersey 20173
Total consumption , natural gas , New Jersey ,2017,2,14037.329, New Jersey 20172
Total consumption , natural gas , New Jersey ,2017,1,16997.857, New Jersey 20171
Total consumption , natural gas , New Jersey ,2016,12,21684.457, New Jersey 201612
Total consumption , natural gas , New Jersey ,2016,11,19959.935, New Jersey 201611
Total consumption , natural gas , New Jersey ,2016,10,27481.094, New Jersey 201610
Total consumption , natural gas , New Jersey ,2016,9,30077.952, New Jersey 20169
Total consumption , natural gas , New Jersey ,2016,8,41217.008, New Jersey 20168
Total consumption , natural gas , New Jersey ,2016,7,39592.209, New Jersey 20167
Total consumption , natural gas , New Jersey ,2016,6,30422.72, New Jersey 20166
Total consumption , natural gas , New Jersey ,2016,5,24014.485, New Jersey 20165
Total consumption , natural gas , New Jersey ,2016,4,23970.389, New Jersey 20164
Total consumption , natural gas , New Jersey ,2016,3,24418.787, New Jersey 20163
Total consumption , natural gas , New Jersey ,2016,2,21012.001, New Jersey 20162
Total consumption , natural gas , New Jersey ,2016,1,23776.682, New Jersey 20161
Total consumption , natural gas , New Jersey ,2015,12,22006.723, New Jersey 201512
Total consumption , natural gas , New Jersey ,2015,11,23682.871, New Jersey 201511
Total consumption , natural gas , New Jersey ,2015,10,23585.216, New Jersey 201510
Total consumption , natural gas , New Jersey ,2015,9,29315.238, New Jersey 20159
Total consumption , natural gas , New Jersey ,2015,8,29196.318, New Jersey 20158
Total consumption , natural gas , New Jersey ,2015,7,30696.152, New Jersey 20157
Total consumption , natural gas , New Jersey ,2015,6,24136.544, New Jersey 20156
Total consumption , natural gas , New Jersey ,2015,5,24482.494, New Jersey 20155
Total consumption , natural gas , New Jersey ,2015,4,18113.416, New Jersey 20154
Total consumption , natural gas , New Jersey ,2015,3,22459.739, New Jersey 20153
Total consumption , natural gas , New Jersey ,2015,2,17073.17, New Jersey 20152
Total consumption , natural gas , New Jersey ,2015,1,18698.996, New Jersey 20151
Total consumption , natural gas , New Jersey ,2014,12,21023.474, New Jersey 201412
Total consumption , natural gas , New Jersey ,2014,11,20861.022, New Jersey 201411
Total consumption , natural gas , New Jersey ,2014,10,21510.64, New Jersey 201410
Total consumption , natural gas , New Jersey ,2014,9,23556.599, New Jersey 20149
Total consumption , natural gas , New Jersey ,2014,8,25133.65, New Jersey 20148
Total consumption , natural gas , New Jersey ,2014,7,28822.215, New Jersey 20147
Total consumption , natural gas , New Jersey ,2014,6,23065.332, New Jersey 20146
Total consumption , natural gas , New Jersey ,2014,5,19253.924, New Jersey 20145
Total consumption , natural gas , New Jersey ,2014,4,15117.028, New Jersey 20144
Total consumption , natural gas , New Jersey ,2014,3,18515.135, New Jersey 20143
Total consumption , natural gas , New Jersey ,2014,2,17139.539, New Jersey 20142
Total consumption , natural gas , New Jersey ,2014,1,15677.923, New Jersey 20141
Total consumption , natural gas , New Jersey ,2013,12,17377.638, New Jersey 201312
Total consumption , natural gas , New Jersey ,2013,11,15282.711, New Jersey 201311
Total consumption , natural gas , New Jersey ,2013,10,16061.175, New Jersey 201310
Total consumption , natural gas , New Jersey ,2013,9,18640.381, New Jersey 20139
Total consumption , natural gas , New Jersey ,2013,8,22080.524, New Jersey 20138
Total consumption , natural gas , New Jersey ,2013,7,29209.556, New Jersey 20137
Total consumption , natural gas , New Jersey ,2013,6,19856.97, New Jersey 20136
Total consumption , natural gas , New Jersey ,2013,5,17363.18, New Jersey 20135
Total consumption , natural gas , New Jersey ,2013,4,16749.115, New Jersey 20134
Total consumption , natural gas , New Jersey ,2013,3,16822.954, New Jersey 20133
Total consumption , natural gas , New Jersey ,2013,2,13867.007, New Jersey 20132
Total consumption , natural gas , New Jersey ,2013,1,13721.248, New Jersey 20131
Total consumption , natural gas , New Jersey ,2012,12,11765.133, New Jersey 201212
Total consumption , natural gas , New Jersey ,2012,11,11646.463, New Jersey 201211
Total consumption , natural gas , New Jersey ,2012,10,17092.989, New Jersey 201210
Total consumption , natural gas , New Jersey ,2012,9,22086.522, New Jersey 20129
Total consumption , natural gas , New Jersey ,2012,8,25872.751, New Jersey 20128
Total consumption , natural gas , New Jersey ,2012,7,29859.242, New Jersey 20127
Total consumption , natural gas , New Jersey ,2012,6,22955.996, New Jersey 20126
Total consumption , natural gas , New Jersey ,2012,5,22292.256, New Jersey 20125
Total consumption , natural gas , New Jersey ,2012,4,17258.439, New Jersey 20124
Total consumption , natural gas , New Jersey ,2012,3,16477.963, New Jersey 20123
Total consumption , natural gas , New Jersey ,2012,2,14497.196, New Jersey 20122
Total consumption , natural gas , New Jersey ,2012,1,14664.541, New Jersey 20121
Total consumption , natural gas , New Jersey ,2011,12,15656.59, New Jersey 201112
Total consumption , natural gas , New Jersey ,2011,11,16504.324, New Jersey 201111
Total consumption , natural gas , New Jersey ,2011,10,16432.45, New Jersey 201110
Total consumption , natural gas , New Jersey ,2011,9,16529.278, New Jersey 20119
Total consumption , natural gas , New Jersey ,2011,8,19591.538, New Jersey 20118
Total consumption , natural gas , New Jersey ,2011,7,24518.915, New Jersey 20117
Total consumption , natural gas , New Jersey ,2011,6,18248.608, New Jersey 20116
Total consumption , natural gas , New Jersey ,2011,5,15689.147, New Jersey 20115
Total consumption , natural gas , New Jersey ,2011,4,15880.549, New Jersey 20114
Total consumption , natural gas , New Jersey ,2011,3,12900.686, New Jersey 20113
Total consumption , natural gas , New Jersey ,2011,2,13351.579, New Jersey 20112
Total consumption , natural gas , New Jersey ,2011,1,14290.803, New Jersey 20111
Total consumption , natural gas , New Jersey ,2010,12,15825.939, New Jersey 201012
Total consumption , natural gas , New Jersey ,2010,11,14170.135, New Jersey 201011
Total consumption , natural gas , New Jersey ,2010,10,14544.916, New Jersey 201010
Total consumption , natural gas , New Jersey ,2010,9,18060.943, New Jersey 20109
Total consumption , natural gas , New Jersey ,2010,8,22183.49, New Jersey 20108
Total consumption , natural gas , New Jersey ,2010,7,27074.799, New Jersey 20107
Total consumption , natural gas , New Jersey ,2010,6,20143.834, New Jersey 20106
Total consumption , natural gas , New Jersey ,2010,5,15679.398, New Jersey 20105
Total consumption , natural gas , New Jersey ,2010,4,13171.622, New Jersey 20104
Total consumption , natural gas , New Jersey ,2010,3,11080.496, New Jersey 20103
Total consumption , natural gas , New Jersey ,2010,2,12593.399, New Jersey 20102
Total consumption , natural gas , New Jersey ,2010,1,14529.935, New Jersey 20101
Total consumption , natural gas , New Jersey ,2009,12,12682.023, New Jersey 200912
Total consumption , natural gas , New Jersey ,2009,11,12691.548, New Jersey 200911
Total consumption , natural gas , New Jersey ,2009,10,14696.994, New Jersey 200910
Total consumption , natural gas , New Jersey ,2009,9,16200.864, New Jersey 20099
Total consumption , natural gas , New Jersey ,2009,8,20120.607, New Jersey 20098
Total consumption , natural gas , New Jersey ,2009,7,16977.961, New Jersey 20097
Total consumption , natural gas , New Jersey ,2009,6,13832.494, New Jersey 20096
Total consumption , natural gas , New Jersey ,2009,5,13246.463, New Jersey 20095
Total consumption , natural gas , New Jersey ,2009,4,11163.333, New Jersey 20094
Total consumption , natural gas , New Jersey ,2009,3,9475.327, New Jersey 20093
Total consumption , natural gas , New Jersey ,2009,2,10637.453, New Jersey 20092
Total consumption , natural gas , New Jersey ,2009,1,12362.724, New Jersey 20091
Total consumption , natural gas , New Jersey ,2008,12,9013.405, New Jersey 200812
Total consumption , natural gas , New Jersey ,2008,11,11779.59, New Jersey 200811
Total consumption , natural gas , New Jersey ,2008,10,10352.669, New Jersey 200810
Total consumption , natural gas , New Jersey ,2008,9,16829.833, New Jersey 20089
Total consumption , natural gas , New Jersey ,2008,8,16075.968, New Jersey 20088
Total consumption , natural gas , New Jersey ,2008,7,21537.744, New Jersey 20087
Total consumption , natural gas , New Jersey ,2008,6,20164.596, New Jersey 20086
Total consumption , natural gas , New Jersey ,2008,5,11576.251, New Jersey 20085
Total consumption , natural gas , New Jersey ,2008,4,14320.175, New Jersey 20084
Total consumption , natural gas , New Jersey ,2008,3,12992.749, New Jersey 20083
Total consumption , natural gas , New Jersey ,2008,2,12462.643, New Jersey 20082
Total consumption , natural gas , New Jersey ,2008,1,12747.388, New Jersey 20081
Total consumption , natural gas , New Jersey ,2007,12,13461.624, New Jersey 200712
Total consumption , natural gas , New Jersey ,2007,11,11368.151, New Jersey 200711
Total consumption , natural gas , New Jersey ,2007,10,12424.889, New Jersey 200710
Total consumption , natural gas , New Jersey ,2007,9,15885.466, New Jersey 20079
Total consumption , natural gas , New Jersey ,2007,8,22278.082, New Jersey 20078
Total consumption , natural gas , New Jersey ,2007,7,19759.643, New Jersey 20077
Total consumption , natural gas , New Jersey ,2007,6,15123.933, New Jersey 20076
Total consumption , natural gas , New Jersey ,2007,5,10815.758, New Jersey 20075
Total consumption , natural gas , New Jersey ,2007,4,10311.256, New Jersey 20074
Total consumption , natural gas , New Jersey ,2007,3,10366.328, New Jersey 20073
Total consumption , natural gas , New Jersey ,2007,2,7168.978, New Jersey 20072
Total consumption , natural gas , New Jersey ,2007,1,8410.636, New Jersey 20071
Total consumption , natural gas , New Jersey ,2006,12,8461.26898, New Jersey 200612
Total consumption , natural gas , New Jersey ,2006,11,7902.08186, New Jersey 200611
Total consumption , natural gas , New Jersey ,2006,10,9097.69764, New Jersey 200610
Total consumption , natural gas , New Jersey ,2006,9,10851.07485, New Jersey 20069
Total consumption , natural gas , New Jersey ,2006,8,19699.78679, New Jersey 20068
Total consumption , natural gas , New Jersey ,2006,7,20727.54554, New Jersey 20067
Total consumption , natural gas , New Jersey ,2006,6,13402.49119, New Jersey 20066
Total consumption , natural gas , New Jersey ,2006,5,10570.72866, New Jersey 20065
Total consumption , natural gas , New Jersey ,2006,4,7684.97711, New Jersey 20064
Total consumption , natural gas , New Jersey ,2006,3,7576.98942, New Jersey 20063
Total consumption , natural gas , New Jersey ,2006,2,6847.20756, New Jersey 20062
Total consumption , natural gas , New Jersey ,2006,1,7842.13656, New Jersey 20061
Total consumption , natural gas , New Jersey ,2005,12,9277.08281, New Jersey 200512
Total consumption , natural gas , New Jersey ,2005,11,7054.86356, New Jersey 200511
Total consumption , natural gas , New Jersey ,2005,10,7981.70523, New Jersey 200510
Total consumption , natural gas , New Jersey ,2005,9,11807.19687, New Jersey 20059
Total consumption , natural gas , New Jersey ,2005,8,19903.12187, New Jersey 20058
Total consumption , natural gas , New Jersey ,2005,7,18343.58929, New Jersey 20057
Total consumption , natural gas , New Jersey ,2005,6,13737.33614, New Jersey 20056
Total consumption , natural gas , New Jersey ,2005,5,6522.62343, New Jersey 20055
Total consumption , natural gas , New Jersey ,2005,4,8303.95518, New Jersey 20054
Total consumption , natural gas , New Jersey ,2005,3,7825.20072, New Jersey 20053
Total consumption , natural gas , New Jersey ,2005,2,7736.97639, New Jersey 20052
Total consumption , natural gas , New Jersey ,2005,1,6604.56459, New Jersey 20051
Total consumption , natural gas , New Jersey ,2004,12,12435.12438, New Jersey 200412
Total consumption , natural gas , New Jersey ,2004,11,15033.01821, New Jersey 200411
Total consumption , natural gas , New Jersey ,2004,10,7783.64572, New Jersey 200410
Total consumption , natural gas , New Jersey ,2004,9,12208.39892, New Jersey 20049
Total consumption , natural gas , New Jersey ,2004,8,16351.29098, New Jersey 20048
Total consumption , natural gas , New Jersey ,2004,7,15358.35205, New Jersey 20047
Total consumption , natural gas , New Jersey ,2004,6,13499.50199, New Jersey 20046
Total consumption , natural gas , New Jersey ,2004,5,15451.29906, New Jersey 20045
Total consumption , natural gas , New Jersey ,2004,4,10275.32726, New Jersey 20044
Total consumption , natural gas , New Jersey ,2004,3,7977.06804, New Jersey 20043
Total consumption , natural gas , New Jersey ,2004,2,7934.20367, New Jersey 20042
Total consumption , natural gas , New Jersey ,2004,1,6357.08569, New Jersey 20041
Total consumption , natural gas , New Jersey ,2003,12,9345.889, New Jersey 200312
Total consumption , natural gas , New Jersey ,2003,11,8868.009, New Jersey 200311
Total consumption , natural gas , New Jersey ,2003,10,9833.431, New Jersey 200310
Total consumption , natural gas , New Jersey ,2003,9,11121.563, New Jersey 20039
Total consumption , natural gas , New Jersey ,2003,8,16693.087, New Jersey 20038
Total consumption , natural gas , New Jersey ,2003,7,15779.915, New Jersey 20037
Total consumption , natural gas , New Jersey ,2003,6,11330.3, New Jersey 20036
Total consumption , natural gas , New Jersey ,2003,5,10236.599, New Jersey 20035
Total consumption , natural gas , New Jersey ,2003,4,9975.309, New Jersey 20034
Total consumption , natural gas , New Jersey ,2003,3,9918.935, New Jersey 20033
Total consumption , natural gas , New Jersey ,2003,2,7853.56, New Jersey 20032
Total consumption , natural gas , New Jersey ,2003,1,9174.007, New Jersey 20031
Total consumption , natural gas , New Jersey ,2002,12,11475.752, New Jersey 200212
Total consumption , natural gas , New Jersey ,2002,11,11207.3, New Jersey 200211
Total consumption , natural gas , New Jersey ,2002,10,10334.12, New Jersey 200210
Total consumption , natural gas , New Jersey ,2002,9,15609.474, New Jersey 20029
Total consumption , natural gas , New Jersey ,2002,8,22411.978, New Jersey 20028
Total consumption , natural gas , New Jersey ,2002,7,22580.052, New Jersey 20027
Total consumption , natural gas , New Jersey ,2002,6,16109.574, New Jersey 20026
Total consumption , natural gas , New Jersey ,2002,5,9236.472, New Jersey 20025
Total consumption , natural gas , New Jersey ,2002,4,11158.846, New Jersey 20024
Total consumption , natural gas , New Jersey ,2002,3,10547.029, New Jersey 20023
Total consumption , natural gas , New Jersey ,2002,2,9313.347, New Jersey 20022
Total consumption , natural gas , New Jersey ,2002,1,10378.987, New Jersey 20021
Total consumption , natural gas , New Jersey ,2001,12,8680.757, New Jersey 200112
Total consumption , natural gas , New Jersey ,2001,11,9012.856, New Jersey 200111
Total consumption , natural gas , New Jersey ,2001,10,12924.896, New Jersey 200110
Total consumption , natural gas , New Jersey ,2001,9,11986.119, New Jersey 20019
Total consumption , natural gas , New Jersey ,2001,8,18799.267, New Jersey 20018
Total consumption , natural gas , New Jersey ,2001,7,13531.808, New Jersey 20017
Total consumption , natural gas , New Jersey ,2001,6,13767.871, New Jersey 20016
Total consumption , natural gas , New Jersey ,2001,5,9177.345, New Jersey 20015
Total consumption , natural gas , New Jersey ,2001,4,8696.674, New Jersey 20014
Total consumption , natural gas , New Jersey ,2001,3,9996.993, New Jersey 20013
Total consumption , natural gas , New Jersey ,2001,2,6141.212, New Jersey 20012
Total consumption , natural gas , New Jersey ,2001,1,5661.78, New Jersey 20011
Total consumption , natural gas , New Mexico ,2017,7,9170.624, New Mexico 20177
Total consumption , natural gas , New Mexico ,2017,6,8089.731, New Mexico 20176
Total consumption , natural gas , New Mexico ,2017,5,6053.642, New Mexico 20175
Total consumption , natural gas , New Mexico ,2017,4,4536.773, New Mexico 20174
Total consumption , natural gas , New Mexico ,2017,3,5244.365, New Mexico 20173
Total consumption , natural gas , New Mexico ,2017,2,4968.972, New Mexico 20172
Total consumption , natural gas , New Mexico ,2017,1,6449.441, New Mexico 20171
Total consumption , natural gas , New Mexico ,2016,12,6173.712, New Mexico 201612
Total consumption , natural gas , New Mexico ,2016,11,5269.886, New Mexico 201611
Total consumption , natural gas , New Mexico ,2016,10,7211.42, New Mexico 201610
Total consumption , natural gas , New Mexico ,2016,9,7250.485, New Mexico 20169
Total consumption , natural gas , New Mexico ,2016,8,8607.856, New Mexico 20168
Total consumption , natural gas , New Mexico ,2016,7,9227.2, New Mexico 20167
Total consumption , natural gas , New Mexico ,2016,6,7704.216, New Mexico 20166
Total consumption , natural gas , New Mexico ,2016,5,6387.382, New Mexico 20165
Total consumption , natural gas , New Mexico ,2016,4,6358.243, New Mexico 20164
Total consumption , natural gas , New Mexico ,2016,3,6092.061, New Mexico 20163
Total consumption , natural gas , New Mexico ,2016,2,5805.78, New Mexico 20162
Total consumption , natural gas , New Mexico ,2016,1,6840.402, New Mexico 20161
Total consumption , natural gas , New Mexico ,2015,12,7078.308, New Mexico 201512
Total consumption , natural gas , New Mexico ,2015,11,5614.144, New Mexico 201511
Total consumption , natural gas , New Mexico ,2015,10,6129.649, New Mexico 201510
Total consumption , natural gas , New Mexico ,2015,9,6609.705, New Mexico 20159
Total consumption , natural gas , New Mexico ,2015,8,8655.934, New Mexico 20158
Total consumption , natural gas , New Mexico ,2015,7,7914.008, New Mexico 20157
Total consumption , natural gas , New Mexico ,2015,6,6598.389, New Mexico 20156
Total consumption , natural gas , New Mexico ,2015,5,4832.523, New Mexico 20155
Total consumption , natural gas , New Mexico ,2015,4,6389.894, New Mexico 20154
Total consumption , natural gas , New Mexico ,2015,3,6300.599, New Mexico 20153
Total consumption , natural gas , New Mexico ,2015,2,5591.723, New Mexico 20152
Total consumption , natural gas , New Mexico ,2015,1,6621.776, New Mexico 20151
Total consumption , natural gas , New Mexico ,2014,12,6607.533, New Mexico 201412
Total consumption , natural gas , New Mexico ,2014,11,5803.43, New Mexico 201411
Total consumption , natural gas , New Mexico ,2014,10,5037.623, New Mexico 201410
Total consumption , natural gas , New Mexico ,2014,9,5816.3, New Mexico 20149
Total consumption , natural gas , New Mexico ,2014,8,8694.634, New Mexico 20148
Total consumption , natural gas , New Mexico ,2014,7,7727.948, New Mexico 20147
Total consumption , natural gas , New Mexico ,2014,6,7445.218, New Mexico 20146
Total consumption , natural gas , New Mexico ,2014,5,6681.139, New Mexico 20145
Total consumption , natural gas , New Mexico ,2014,4,6108.9, New Mexico 20144
Total consumption , natural gas , New Mexico ,2014,3,6144.261, New Mexico 20143
Total consumption , natural gas , New Mexico ,2014,2,4983.164, New Mexico 20142
Total consumption , natural gas , New Mexico ,2014,1,5923.182, New Mexico 20141
Total consumption , natural gas , New Mexico ,2013,12,6523.071, New Mexico 201312
Total consumption , natural gas , New Mexico ,2013,11,5323.373, New Mexico 201311
Total consumption , natural gas , New Mexico ,2013,10,4826.914, New Mexico 201310
Total consumption , natural gas , New Mexico ,2013,9,6970.67, New Mexico 20139
Total consumption , natural gas , New Mexico ,2013,8,8771.781, New Mexico 20138
Total consumption , natural gas , New Mexico ,2013,7,8004.223, New Mexico 20137
Total consumption , natural gas , New Mexico ,2013,6,7131.479, New Mexico 20136
Total consumption , natural gas , New Mexico ,2013,5,6251.31, New Mexico 20135
