Category,Resource,State,Year,Month,Value(thousand Mcf),state_year_month
Total consumption , natural gas , Alabama ,2006,9,11340.32838, Alabama 20069
Total consumption , natural gas , Alabama ,2006,8,26195.62386, Alabama 20068
Total consumption , natural gas , Alabama ,2006,7,25243.80813, Alabama 20067
Total consumption , natural gas , Alabama ,2006,6,19063.6935, Alabama 20066
Total consumption , natural gas , Alabama ,2006,5,11641.77863, Alabama 20065
Total consumption , natural gas , Alabama ,2006,4,9059.3519, Alabama 20064
Total consumption , natural gas , Alabama ,2006,3,7726.16554, Alabama 20063
Total consumption , natural gas , Alabama ,2006,2,5197.37208, Alabama 20062
Total consumption , natural gas , Alabama ,2006,1,4040.63516, Alabama 20061
Total consumption , natural gas , Alabama ,2005,12,9749.16421, Alabama 200512
Total consumption , natural gas , Alabama ,2005,11,6522.70393, Alabama 200511
Total consumption , natural gas , Alabama ,2005,10,5719.63009, Alabama 200510
Total consumption , natural gas , Alabama ,2005,9,9582.05223, Alabama 20059
Total consumption , natural gas , Alabama ,2005,8,17573.02054, Alabama 20058
Total consumption , natural gas , Alabama ,2005,7,15973.62999, Alabama 20057
Total consumption , natural gas , Alabama ,2005,6,11921.07372, Alabama 20056
Total consumption , natural gas , Alabama ,2005,5,6678.23652, Alabama 20055
Total consumption , natural gas , Alabama ,2005,4,3991.33932, Alabama 20054
Total consumption , natural gas , Alabama ,2005,3,6532.35393, Alabama 20053
Total consumption , natural gas , Alabama ,2005,2,4523.80463, Alabama 20052
Total consumption , natural gas , Alabama ,2005,1,6019.27389, Alabama 20051
Total consumption , natural gas , Alabama ,2004,12,6646.64042, Alabama 200412
Total consumption , natural gas , Alabama ,2004,11,4994.92492, Alabama 200411
Total consumption , natural gas , Alabama ,2004,10,7253.55405, Alabama 200410
Total consumption , natural gas , Alabama ,2004,9,9688.87749, Alabama 20049
Total consumption , natural gas , Alabama ,2004,8,14661.80819, Alabama 20048
Total consumption , natural gas , Alabama ,2004,7,17481.47802, Alabama 20047
Total consumption , natural gas , Alabama ,2004,6,11388.1931, Alabama 20046
Total consumption , natural gas , Alabama ,2004,5,10409.089, Alabama 20045
Total consumption , natural gas , Alabama ,2004,4,8551.65261, Alabama 20044
Total consumption , natural gas , Alabama ,2004,3,8671.68929, Alabama 20043
Total consumption , natural gas , Alabama ,2004,2,8269.92627, Alabama 20042
Total consumption , natural gas , Alabama ,2004,1,9037.95864, Alabama 20041
Total consumption , natural gas , Alabama ,2003,12,5790.746, Alabama 200312
Total consumption , natural gas , Alabama ,2003,11,3572.927, Alabama 200311
Total consumption , natural gas , Alabama ,2003,10,2734.802, Alabama 200310
Total consumption , natural gas , Alabama ,2003,9,6905.798, Alabama 20039
Total consumption , natural gas , Alabama ,2003,8,17125.63, Alabama 20038
Total consumption , natural gas , Alabama ,2003,7,12970.757, Alabama 20037
Total consumption , natural gas , Alabama ,2003,6,8673.186, Alabama 20036
Total consumption , natural gas , Alabama ,2003,5,4273.641, Alabama 20035
Total consumption , natural gas , Alabama ,2003,4,5527.712, Alabama 20034
Total consumption , natural gas , Alabama ,2003,3,4057.278, Alabama 20033
Total consumption , natural gas , Alabama ,2003,2,5068.943, Alabama 20032
Total consumption , natural gas , Alabama ,2003,1,9427.681, Alabama 20031
Total consumption , natural gas , Alabama ,2002,12,5608.174, Alabama 200212
Total consumption , natural gas , Alabama ,2002,11,5415.166, Alabama 200211
Total consumption , natural gas , Alabama ,2002,10,7063.547, Alabama 200210
Total consumption , natural gas , Alabama ,2002,9,11855.406, Alabama 20029
Total consumption , natural gas , Alabama ,2002,8,15891.671, Alabama 20028
Total consumption , natural gas , Alabama ,2002,7,15228.106, Alabama 20027
Total consumption , natural gas , Alabama ,2002,6,12395.658, Alabama 20026
Total consumption , natural gas , Alabama ,2002,5,7316.279, Alabama 20025
Total consumption , natural gas , Alabama ,2002,4,7216.773, Alabama 20024
Total consumption , natural gas , Alabama ,2002,3,7301.452, Alabama 20023
