Category,Resource,State,Year,Month,Value(thousand tons),state_year_month
Total consumption , petroleum coke , East North Central (total) ,2016,7,78.822, East North Central (total) 20167
Total consumption , petroleum coke , East North Central (total) ,2016,6,74.188, East North Central (total) 20166
Total consumption , petroleum coke , East North Central (total) ,2016,5,70.345, East North Central (total) 20165
Total consumption , petroleum coke , East North Central (total) ,2016,4,101.23563, East North Central (total) 20164
Total consumption , petroleum coke , East North Central (total) ,2016,3,91.64178, East North Central (total) 20163
Total consumption , petroleum coke , East North Central (total) ,2016,2,98.30117, East North Central (total) 20162
Total consumption , petroleum coke , East North Central (total) ,2016,1,59.98009, East North Central (total) 20161
Total consumption , petroleum coke , East North Central (total) ,2015,12,55.01708, East North Central (total) 201512
Total consumption , petroleum coke , East North Central (total) ,2015,11,111.58103, East North Central (total) 201511
Total consumption , petroleum coke , East North Central (total) ,2015,10,55.9639, East North Central (total) 201510
Total consumption , petroleum coke , East North Central (total) ,2015,9,105.12339, East North Central (total) 20159
Total consumption , petroleum coke , East North Central (total) ,2015,8,123.55845, East North Central (total) 20158
Total consumption , petroleum coke , East North Central (total) ,2015,7,125.36645, East North Central (total) 20157
Total consumption , petroleum coke , East North Central (total) ,2015,6,135.00979, East North Central (total) 20156
Total consumption , petroleum coke , East North Central (total) ,2015,5,90.05562, East North Central (total) 20155
Total consumption , petroleum coke , East North Central (total) ,2015,4,78.496, East North Central (total) 20154
Total consumption , petroleum coke , East North Central (total) ,2015,3,75.598, East North Central (total) 20153
Total consumption , petroleum coke , East North Central (total) ,2015,2,120.99675, East North Central (total) 20152
Total consumption , petroleum coke , East North Central (total) ,2015,1,112.82476, East North Central (total) 20151
Total consumption , petroleum coke , East North Central (total) ,2014,12,108.26433, East North Central (total) 201412
Total consumption , petroleum coke , East North Central (total) ,2014,11,76.27641, East North Central (total) 201411
Total consumption , petroleum coke , East North Central (total) ,2014,10,39.46636, East North Central (total) 201410
Total consumption , petroleum coke , East North Central (total) ,2014,9,117.10241, East North Central (total) 20149
Total consumption , petroleum coke , East North Central (total) ,2014,8,109.41846, East North Central (total) 20148
Total consumption , petroleum coke , East North Central (total) ,2014,7,126.88184, East North Central (total) 20147
Total consumption , petroleum coke , East North Central (total) ,2014,6,123.01827, East North Central (total) 20146
