Category,Resource,State,Year,Month,Value(thousand tons),state_year_month
Total consumption , petroleum coke , Minnesota ,2005,3,22.651, Minnesota 20053
Total consumption , petroleum coke , Minnesota ,2005,2,16.673, Minnesota 20052
Total consumption , petroleum coke , Minnesota ,2005,1,24.339, Minnesota 20051
Total consumption , petroleum coke , Minnesota ,2004,12,14.585, Minnesota 200412
Total consumption , petroleum coke , Minnesota ,2004,11,23.555, Minnesota 200411
Total consumption , petroleum coke , Minnesota ,2004,10,24.717, Minnesota 200410
Total consumption , petroleum coke , Minnesota ,2004,9,18.289, Minnesota 20049
Total consumption , petroleum coke , Minnesota ,2004,8,28.965, Minnesota 20048
Total consumption , petroleum coke , Minnesota ,2004,7,22.833, Minnesota 20047
Total consumption , petroleum coke , Minnesota ,2004,6,27.961, Minnesota 20046
Total consumption , petroleum coke , Minnesota ,2004,5,11.791, Minnesota 20045
Total consumption , petroleum coke , Minnesota ,2004,4,7.218, Minnesota 20044
Total consumption , petroleum coke , Minnesota ,2004,3,22.442, Minnesota 20043
Total consumption , petroleum coke , Minnesota ,2004,2,15.117, Minnesota 20042
Total consumption , petroleum coke , Minnesota ,2004,1,23.496, Minnesota 20041
Total consumption , petroleum coke , Minnesota ,2003,12,26.187, Minnesota 200312
Total consumption , petroleum coke , Minnesota ,2003,11,24.521, Minnesota 200311
Total consumption , petroleum coke , Minnesota ,2003,10,25.969, Minnesota 200310
Total consumption , petroleum coke , Minnesota ,2003,9,21.292, Minnesota 20039
Total consumption , petroleum coke , Minnesota ,2003,8,25.491, Minnesota 20038
Total consumption , petroleum coke , Minnesota ,2003,7,21.621, Minnesota 20037
Total consumption , petroleum coke , Minnesota ,2003,6,19.04, Minnesota 20036
Total consumption , petroleum coke , Minnesota ,2003,5,25.358, Minnesota 20035
Total consumption , petroleum coke , Minnesota ,2003,4,9.917, Minnesota 20034
Total consumption , petroleum coke , Minnesota ,2003,3,23.7, Minnesota 20033
Total consumption , petroleum coke , Minnesota ,2003,2,20.744, Minnesota 20032
Total consumption , petroleum coke , Minnesota ,2003,1,18.396, Minnesota 20031
Total consumption , petroleum coke , Minnesota ,2002,12,22.493, Minnesota 200212
Total consumption , petroleum coke , Minnesota ,2002,11,18.972, Minnesota 200211
Total consumption , petroleum coke , Minnesota ,2002,10,20.008, Minnesota 200210
Total consumption , petroleum coke , Minnesota ,2002,9,18.745, Minnesota 20029
Total consumption , petroleum coke , Minnesota ,2002,8,20.359, Minnesota 20028
Total consumption , petroleum coke , Minnesota ,2002,7,21.805, Minnesota 20027
Total consumption , petroleum coke , Minnesota ,2002,6,14.672, Minnesota 20026
Total consumption , petroleum coke , Minnesota ,2002,5,12.674, Minnesota 20025
Total consumption , petroleum coke , Minnesota ,2002,4,9.786, Minnesota 20024
Total consumption , petroleum coke , Minnesota ,2002,3,18.768, Minnesota 20023
Total consumption , petroleum coke , Minnesota ,2002,2,15.702, Minnesota 20022
Total consumption , petroleum coke , Minnesota ,2002,1,16.887, Minnesota 20021
Total consumption , petroleum coke , Minnesota ,2001,12,18.469, Minnesota 200112
Total consumption , petroleum coke , Minnesota ,2001,11,20.277, Minnesota 200111
Total consumption , petroleum coke , Minnesota ,2001,10,16.003, Minnesota 200110
Total consumption , petroleum coke , Minnesota ,2001,9,16.608, Minnesota 20019
Total consumption , petroleum coke , Minnesota ,2001,8,11.43, Minnesota 20018
Total consumption , petroleum coke , Minnesota ,2001,7,13.869, Minnesota 20017
Total consumption , petroleum coke , Minnesota ,2001,6,19.086, Minnesota 20016
Total consumption , petroleum coke , Minnesota ,2001,5,4.44, Minnesota 20015
Total consumption , petroleum coke , Minnesota ,2001,4,9.554, Minnesota 20014
Total consumption , petroleum coke , Minnesota ,2001,3,23.217, Minnesota 20013
Total consumption , petroleum coke , Minnesota ,2001,2,21.771, Minnesota 20012
Total consumption , petroleum coke , Minnesota ,2001,1,21.243, Minnesota 20011
Total consumption , petroleum coke , Missouri ,2016,4,0, Missouri 20164
Total consumption , petroleum coke , Missouri ,2014,5,0, Missouri 20145
Total consumption , petroleum coke , Missouri ,2014,4,0, Missouri 20144
Total consumption , petroleum coke , Missouri ,2014,3,0, Missouri 20143
Total consumption , petroleum coke , Missouri ,2014,2,0, Missouri 20142
Total consumption , petroleum coke , Missouri ,2014,1,0, Missouri 20141
Total consumption , petroleum coke , Missouri ,2013,12,0, Missouri 201312
Total consumption , petroleum coke , Missouri ,2013,11,0, Missouri 201311
Total consumption , petroleum coke , Missouri ,2013,10,0, Missouri 201310
Total consumption , petroleum coke , Missouri ,2013,9,0, Missouri 20139
Total consumption , petroleum coke , Missouri ,2013,8,0, Missouri 20138
Total consumption , petroleum coke , Missouri ,2013,7,0, Missouri 20137
Total consumption , petroleum coke , Missouri ,2013,6,0, Missouri 20136
Total consumption , petroleum coke , Missouri ,2013,5,0, Missouri 20135
Total consumption , petroleum coke , Missouri ,2013,4,0, Missouri 20134
Total consumption , petroleum coke , Missouri ,2013,3,0, Missouri 20133
Total consumption , petroleum coke , Missouri ,2013,2,0, Missouri 20132
Total consumption , petroleum coke , Missouri ,2013,1,0, Missouri 20131
Total consumption , petroleum coke , Missouri ,2012,12,0, Missouri 201212
Total consumption , petroleum coke , Missouri ,2012,11,0, Missouri 201211
Total consumption , petroleum coke , Missouri ,2012,10,0, Missouri 201210
Total consumption , petroleum coke , Missouri ,2012,9,0, Missouri 20129
Total consumption , petroleum coke , Missouri ,2012,8,0, Missouri 20128
Total consumption , petroleum coke , Missouri ,2012,7,0, Missouri 20127
Total consumption , petroleum coke , Missouri ,2012,6,0, Missouri 20126
Total consumption , petroleum coke , Missouri ,2012,5,0, Missouri 20125
Total consumption , petroleum coke , Missouri ,2012,4,0, Missouri 20124
Total consumption , petroleum coke , Missouri ,2012,3,0, Missouri 20123
Total consumption , petroleum coke , Missouri ,2012,2,0, Missouri 20122
Total consumption , petroleum coke , Missouri ,2012,1,0, Missouri 20121
Total consumption , petroleum coke , Missouri ,2011,12,0, Missouri 201112
Total consumption , petroleum coke , Missouri ,2011,11,0, Missouri 201111
Total consumption , petroleum coke , Missouri ,2011,10,0, Missouri 201110
Total consumption , petroleum coke , Missouri ,2011,9,0, Missouri 20119
Total consumption , petroleum coke , Missouri ,2011,8,0, Missouri 20118
Total consumption , petroleum coke , Missouri ,2011,7,0, Missouri 20117
Total consumption , petroleum coke , Missouri ,2011,6,0, Missouri 20116
Total consumption , petroleum coke , Missouri ,2011,5,0, Missouri 20115
Total consumption , petroleum coke , Missouri ,2011,4,0, Missouri 20114
Total consumption , petroleum coke , Missouri ,2011,3,0, Missouri 20113
Total consumption , petroleum coke , Missouri ,2011,2,0, Missouri 20112
Total consumption , petroleum coke , Missouri ,2011,1,0, Missouri 20111
Total consumption , petroleum coke , Missouri ,2010,12,0, Missouri 201012
Total consumption , petroleum coke , Missouri ,2010,11,0, Missouri 201011
Total consumption , petroleum coke , Missouri ,2010,10,0, Missouri 201010
Total consumption , petroleum coke , Missouri ,2010,9,0, Missouri 20109
Total consumption , petroleum coke , Missouri ,2010,8,0, Missouri 20108
Total consumption , petroleum coke , Missouri ,2010,7,0, Missouri 20107
Total consumption , petroleum coke , Missouri ,2010,6,0, Missouri 20106
Total consumption , petroleum coke , Missouri ,2010,5,0, Missouri 20105
Total consumption , petroleum coke , Missouri ,2010,4,1.208, Missouri 20104
Total consumption , petroleum coke , Missouri ,2010,3,1.021, Missouri 20103
Total consumption , petroleum coke , Missouri ,2010,2,0.624, Missouri 20102
Total consumption , petroleum coke , Missouri ,2010,1,0.895, Missouri 20101
Total consumption , petroleum coke , Missouri ,2009,12,1.269, Missouri 200912
Total consumption , petroleum coke , Missouri ,2009,11,0.792, Missouri 200911
Total consumption , petroleum coke , Missouri ,2009,10,0.409, Missouri 200910
Total consumption , petroleum coke , Missouri ,2009,9,1.113, Missouri 20099
Total consumption , petroleum coke , Missouri ,2009,8,0.881, Missouri 20098
Total consumption , petroleum coke , Missouri ,2009,7,1.367, Missouri 20097
Total consumption , petroleum coke , Missouri ,2009,6,2.488, Missouri 20096
Total consumption , petroleum coke , Missouri ,2009,5,0.914, Missouri 20095
Total consumption , petroleum coke , Missouri ,2009,4,1.564, Missouri 20094
Total consumption , petroleum coke , Missouri ,2009,3,1.609, Missouri 20093
Total consumption , petroleum coke , Missouri ,2009,2,0.918, Missouri 20092
Total consumption , petroleum coke , Missouri ,2009,1,0.812, Missouri 20091
Total consumption , petroleum coke , Missouri ,2008,12,0.566, Missouri 200812
Total consumption , petroleum coke , Missouri ,2008,11,0, Missouri 200811
Total consumption , petroleum coke , Missouri ,2008,10,0, Missouri 200810
Total consumption , petroleum coke , Missouri ,2008,9,0, Missouri 20089
Total consumption , petroleum coke , Missouri ,2008,8,0, Missouri 20088
Total consumption , petroleum coke , Missouri ,2008,7,0, Missouri 20087
Total consumption , petroleum coke , Missouri ,2008,6,0, Missouri 20086
Total consumption , petroleum coke , Missouri ,2008,5,0, Missouri 20085
Total consumption , petroleum coke , Missouri ,2008,4,0, Missouri 20084
Total consumption , petroleum coke , Missouri ,2008,3,0, Missouri 20083
Total consumption , petroleum coke , Missouri ,2008,2,0, Missouri 20082
Total consumption , petroleum coke , Missouri ,2008,1,0, Missouri 20081
Total consumption , petroleum coke , Missouri ,2007,12,0, Missouri 200712
Total consumption , petroleum coke , Missouri ,2007,11,0, Missouri 200711
Total consumption , petroleum coke , Missouri ,2007,10,0, Missouri 200710
Total consumption , petroleum coke , Missouri ,2007,9,0, Missouri 20079
Total consumption , petroleum coke , Missouri ,2007,8,0, Missouri 20078
Total consumption , petroleum coke , Missouri ,2007,7,0, Missouri 20077
Total consumption , petroleum coke , Missouri ,2007,6,0, Missouri 20076
Total consumption , petroleum coke , Missouri ,2007,5,0, Missouri 20075
Total consumption , petroleum coke , Missouri ,2007,4,0, Missouri 20074
Total consumption , petroleum coke , Missouri ,2007,3,0, Missouri 20073
Total consumption , petroleum coke , Missouri ,2007,2,0, Missouri 20072
Total consumption , petroleum coke , Missouri ,2007,1,0, Missouri 20071
Total consumption , petroleum coke , Missouri ,2006,12,0, Missouri 200612
Total consumption , petroleum coke , Missouri ,2006,11,0, Missouri 200611
Total consumption , petroleum coke , Missouri ,2006,10,0, Missouri 200610
Total consumption , petroleum coke , Missouri ,2006,9,0, Missouri 20069
Total consumption , petroleum coke , Missouri ,2006,8,0, Missouri 20068
Total consumption , petroleum coke , Missouri ,2006,7,0, Missouri 20067
Total consumption , petroleum coke , Missouri ,2006,6,0, Missouri 20066
Total consumption , petroleum coke , Missouri ,2006,5,0, Missouri 20065
Total consumption , petroleum coke , Missouri ,2006,4,0, Missouri 20064
Total consumption , petroleum coke , Missouri ,2006,3,0, Missouri 20063
Total consumption , petroleum coke , Missouri ,2006,2,0, Missouri 20062
Total consumption , petroleum coke , Missouri ,2006,1,0, Missouri 20061
Total consumption , petroleum coke , Missouri ,2005,12,0, Missouri 200512
Total consumption , petroleum coke , Missouri ,2005,11,0, Missouri 200511
Total consumption , petroleum coke , Missouri ,2005,10,0, Missouri 200510
Total consumption , petroleum coke , Missouri ,2005,9,0, Missouri 20059
Total consumption , petroleum coke , Missouri ,2005,8,0, Missouri 20058
Total consumption , petroleum coke , Missouri ,2005,7,0, Missouri 20057
Total consumption , petroleum coke , Missouri ,2005,6,13.867, Missouri 20056
Total consumption , petroleum coke , Missouri ,2005,5,0, Missouri 20055
Total consumption , petroleum coke , Missouri ,2005,4,8.707, Missouri 20054
Total consumption , petroleum coke , Missouri ,2005,3,0, Missouri 20053
Total consumption , petroleum coke , Missouri ,2005,2,0, Missouri 20052
Total consumption , petroleum coke , Missouri ,2005,1,0, Missouri 20051
Total consumption , petroleum coke , Missouri ,2004,12,4.499, Missouri 200412
Total consumption , petroleum coke , Missouri ,2004,11,6.75, Missouri 200411
Total consumption , petroleum coke , Missouri ,2004,10,20.374, Missouri 200410
Total consumption , petroleum coke , Missouri ,2004,9,5.227, Missouri 20049
Total consumption , petroleum coke , Missouri ,2004,8,6.718, Missouri 20048
Total consumption , petroleum coke , Missouri ,2004,7,0.302, Missouri 20047
Total consumption , petroleum coke , Missouri ,2004,6,0.302, Missouri 20046
Total consumption , petroleum coke , Missouri ,2004,5,0, Missouri 20045
Total consumption , petroleum coke , Missouri ,2004,4,0, Missouri 20044
Total consumption , petroleum coke , Missouri ,2004,3,0, Missouri 20043
Total consumption , petroleum coke , Missouri ,2004,2,0, Missouri 20042
Total consumption , petroleum coke , Missouri ,2004,1,0, Missouri 20041
Total consumption , petroleum coke , Missouri ,2003,12,0, Missouri 200312
Total consumption , petroleum coke , Missouri ,2003,11,0, Missouri 200311
Total consumption , petroleum coke , Missouri ,2003,10,0.6, Missouri 200310
Total consumption , petroleum coke , Missouri ,2003,9,0.435, Missouri 20039
Total consumption , petroleum coke , Missouri ,2003,8,1.673, Missouri 20038
Total consumption , petroleum coke , Missouri ,2003,7,11.237, Missouri 20037
Total consumption , petroleum coke , Missouri ,2003,6,3.928, Missouri 20036
Total consumption , petroleum coke , Missouri ,2003,5,0, Missouri 20035
Total consumption , petroleum coke , Missouri ,2003,4,0, Missouri 20034
Total consumption , petroleum coke , Missouri ,2003,3,0, Missouri 20033
Total consumption , petroleum coke , Missouri ,2003,2,0, Missouri 20032
Total consumption , petroleum coke , Missouri ,2003,1,0, Missouri 20031
Total consumption , petroleum coke , Missouri ,2002,12,0, Missouri 200212
Total consumption , petroleum coke , Missouri ,2002,11,0.287, Missouri 200211
Total consumption , petroleum coke , Missouri ,2002,10,11.971, Missouri 200210
Total consumption , petroleum coke , Missouri ,2002,9,15.485, Missouri 20029
Total consumption , petroleum coke , Missouri ,2002,8,25.089, Missouri 20028
Total consumption , petroleum coke , Missouri ,2002,7,19.496, Missouri 20027
Total consumption , petroleum coke , Missouri ,2002,6,0, Missouri 20026
Total consumption , petroleum coke , Missouri ,2002,5,15.006, Missouri 20025
Total consumption , petroleum coke , Missouri ,2002,4,12.197, Missouri 20024
Total consumption , petroleum coke , Missouri ,2002,3,17.729, Missouri 20023
Total consumption , petroleum coke , Missouri ,2002,2,20.2, Missouri 20022
Total consumption , petroleum coke , Missouri ,2002,1,15.775, Missouri 20021
Total consumption , petroleum coke , Missouri ,2001,12,11.999, Missouri 200112
Total consumption , petroleum coke , Missouri ,2001,11,8.422, Missouri 200111
Total consumption , petroleum coke , Missouri ,2001,10,18.9, Missouri 200110
Total consumption , petroleum coke , Missouri ,2001,9,22.2, Missouri 20019
Total consumption , petroleum coke , Missouri ,2001,8,23.058, Missouri 20018
Total consumption , petroleum coke , Missouri ,2001,7,22.448, Missouri 20017
Total consumption , petroleum coke , Missouri ,2001,6,24.722, Missouri 20016
Total consumption , petroleum coke , Missouri ,2001,5,16.75, Missouri 20015
Total consumption , petroleum coke , Missouri ,2001,4,0, Missouri 20014
Total consumption , petroleum coke , Missouri ,2001,3,9.076, Missouri 20013
Total consumption , petroleum coke , Missouri ,2001,2,14.914, Missouri 20012
Total consumption , petroleum coke , Missouri ,2001,1,11.376, Missouri 20011
Total consumption , petroleum coke , Montana ,2017,7,23.225, Montana 20177
Total consumption , petroleum coke , Montana ,2017,6,22.123, Montana 20176
Total consumption , petroleum coke , Montana ,2017,5,22.985, Montana 20175
Total consumption , petroleum coke , Montana ,2017,4,22.158, Montana 20174
Total consumption , petroleum coke , Montana ,2017,3,23.148, Montana 20173
Total consumption , petroleum coke , Montana ,2017,2,21.088, Montana 20172
Total consumption , petroleum coke , Montana ,2017,1,24.24, Montana 20171
Total consumption , petroleum coke , Montana ,2016,12,25.175, Montana 201612
Total consumption , petroleum coke , Montana ,2016,11,24.57, Montana 201611
Total consumption , petroleum coke , Montana ,2016,10,26.438, Montana 201610
Total consumption , petroleum coke , Montana ,2016,9,23.255, Montana 20169
Total consumption , petroleum coke , Montana ,2016,8,24.216, Montana 20168
Total consumption , petroleum coke , Montana ,2016,7,23.998, Montana 20167
Total consumption , petroleum coke , Montana ,2016,6,20.551, Montana 20166
Total consumption , petroleum coke , Montana ,2016,5,14.664, Montana 20165
Total consumption , petroleum coke , Montana ,2016,4,16.585, Montana 20164
Total consumption , petroleum coke , Montana ,2016,3,25.037, Montana 20163
Total consumption , petroleum coke , Montana ,2016,2,23.627, Montana 20162
Total consumption , petroleum coke , Montana ,2016,1,24.976, Montana 20161
Total consumption , petroleum coke , Montana ,2015,12,25.095, Montana 201512
Total consumption , petroleum coke , Montana ,2015,11,24.28, Montana 201511
Total consumption , petroleum coke , Montana ,2015,10,24.192, Montana 201510
Total consumption , petroleum coke , Montana ,2015,9,23.488, Montana 20159
Total consumption , petroleum coke , Montana ,2015,8,25.14, Montana 20158
Total consumption , petroleum coke , Montana ,2015,7,24.361, Montana 20157
Total consumption , petroleum coke , Montana ,2015,6,23.89, Montana 20156
Total consumption , petroleum coke , Montana ,2015,5,25.253, Montana 20155
Total consumption , petroleum coke , Montana ,2015,4,24.407, Montana 20154
Total consumption , petroleum coke , Montana ,2015,3,23.017, Montana 20153
Total consumption , petroleum coke , Montana ,2015,2,22.878, Montana 20152
Total consumption , petroleum coke , Montana ,2015,1,25.536, Montana 20151
Total consumption , petroleum coke , Montana ,2014,12,25.399, Montana 201412
Total consumption , petroleum coke , Montana ,2014,11,24.402, Montana 201411
Total consumption , petroleum coke , Montana ,2014,10,23.75, Montana 201410
Total consumption , petroleum coke , Montana ,2014,9,23.88, Montana 20149
Total consumption , petroleum coke , Montana ,2014,8,24.637, Montana 20148
Total consumption , petroleum coke , Montana ,2014,7,11.69, Montana 20147
Total consumption , petroleum coke , Montana ,2014,6,0, Montana 20146
Total consumption , petroleum coke , Montana ,2014,5,21.038, Montana 20145
Total consumption , petroleum coke , Montana ,2014,4,24.114, Montana 20144
Total consumption , petroleum coke , Montana ,2014,3,22.225, Montana 20143
Total consumption , petroleum coke , Montana ,2014,2,18.148, Montana 20142
Total consumption , petroleum coke , Montana ,2014,1,22.261, Montana 20141
Total consumption , petroleum coke , Montana ,2013,12,24.74, Montana 201312
Total consumption , petroleum coke , Montana ,2013,11,22.287, Montana 201311
Total consumption , petroleum coke , Montana ,2013,10,24.68, Montana 201310
Total consumption , petroleum coke , Montana ,2013,9,21.163, Montana 20139
Total consumption , petroleum coke , Montana ,2013,8,21.163, Montana 20138
Total consumption , petroleum coke , Montana ,2013,7,22.95, Montana 20137
Total consumption , petroleum coke , Montana ,2013,6,12.566, Montana 20136
Total consumption , petroleum coke , Montana ,2013,5,21.136, Montana 20135
Total consumption , petroleum coke , Montana ,2013,4,24.597, Montana 20134
Total consumption , petroleum coke , Montana ,2013,3,24.95, Montana 20133
Total consumption , petroleum coke , Montana ,2013,2,20.106, Montana 20132
Total consumption , petroleum coke , Montana ,2013,1,24.241, Montana 20131
Total consumption , petroleum coke , Montana ,2012,12,24.193, Montana 201212
Total consumption , petroleum coke , Montana ,2012,11,23.394, Montana 201211
Total consumption , petroleum coke , Montana ,2012,10,23.982, Montana 201210
Total consumption , petroleum coke , Montana ,2012,9,23.589, Montana 20129
Total consumption , petroleum coke , Montana ,2012,8,23.66, Montana 20128
Total consumption , petroleum coke , Montana ,2012,7,19.183, Montana 20127
Total consumption , petroleum coke , Montana ,2012,6,8.903, Montana 20126
Total consumption , petroleum coke , Montana ,2012,5,24.911, Montana 20125
Total consumption , petroleum coke , Montana ,2012,4,24.041, Montana 20124
Total consumption , petroleum coke , Montana ,2012,3,25.258, Montana 20123
Total consumption , petroleum coke , Montana ,2012,2,23.677, Montana 20122
Total consumption , petroleum coke , Montana ,2012,1,24.016, Montana 20121
Total consumption , petroleum coke , Montana ,2011,12,25.457, Montana 201112
Total consumption , petroleum coke , Montana ,2011,11,22.89, Montana 201111
Total consumption , petroleum coke , Montana ,2011,10,13.66, Montana 201110
Total consumption , petroleum coke , Montana ,2011,9,22.965, Montana 20119
Total consumption , petroleum coke , Montana ,2011,8,23.902, Montana 20118
Total consumption , petroleum coke , Montana ,2011,7,23.519, Montana 20117
Total consumption , petroleum coke , Montana ,2011,6,22.823, Montana 20116
Total consumption , petroleum coke , Montana ,2011,5,24.698, Montana 20115
Total consumption , petroleum coke , Montana ,2011,4,23.722, Montana 20114
Total consumption , petroleum coke , Montana ,2011,3,24.882, Montana 20113
Total consumption , petroleum coke , Montana ,2011,2,22.51, Montana 20112
Total consumption , petroleum coke , Montana ,2011,1,12.95, Montana 20111
Total consumption , petroleum coke , Montana ,2010,12,23.206, Montana 201012
Total consumption , petroleum coke , Montana ,2010,11,24.604, Montana 201011
Total consumption , petroleum coke , Montana ,2010,10,18.501, Montana 201010
Total consumption , petroleum coke , Montana ,2010,9,0, Montana 20109
Total consumption , petroleum coke , Montana ,2010,8,4.297, Montana 20108
Total consumption , petroleum coke , Montana ,2010,7,23.119, Montana 20107
Total consumption , petroleum coke , Montana ,2010,6,17.623, Montana 20106
Total consumption , petroleum coke , Montana ,2010,5,24.306, Montana 20105
Total consumption , petroleum coke , Montana ,2010,4,22.307, Montana 20104
Total consumption , petroleum coke , Montana ,2010,3,24.616, Montana 20103
Total consumption , petroleum coke , Montana ,2010,2,22.126, Montana 20102
Total consumption , petroleum coke , Montana ,2010,1,22.815, Montana 20101
Total consumption , petroleum coke , Montana ,2009,12,22.769, Montana 200912
Total consumption , petroleum coke , Montana ,2009,11,22.739, Montana 200911
Total consumption , petroleum coke , Montana ,2009,10,19.353, Montana 200910
Total consumption , petroleum coke , Montana ,2009,9,22.265, Montana 20099
Total consumption , petroleum coke , Montana ,2009,8,22.183, Montana 20098
Total consumption , petroleum coke , Montana ,2009,7,21.055, Montana 20097
Total consumption , petroleum coke , Montana ,2009,6,22.779, Montana 20096
Total consumption , petroleum coke , Montana ,2009,5,24.644, Montana 20095
Total consumption , petroleum coke , Montana ,2009,4,22.287, Montana 20094
Total consumption , petroleum coke , Montana ,2009,3,23.726, Montana 20093
Total consumption , petroleum coke , Montana ,2009,2,21.394, Montana 20092
Total consumption , petroleum coke , Montana ,2009,1,24.449, Montana 20091
Total consumption , petroleum coke , Montana ,2008,12,23.489, Montana 200812
Total consumption , petroleum coke , Montana ,2008,11,23.195, Montana 200811
Total consumption , petroleum coke , Montana ,2008,10,23.42, Montana 200810
Total consumption , petroleum coke , Montana ,2008,9,15.316, Montana 20089
Total consumption , petroleum coke , Montana ,2008,8,0, Montana 20088
Total consumption , petroleum coke , Montana ,2008,7,9.298, Montana 20087
Total consumption , petroleum coke , Montana ,2008,6,22.484, Montana 20086
Total consumption , petroleum coke , Montana ,2008,5,23.341, Montana 20085
Total consumption , petroleum coke , Montana ,2008,4,23.12, Montana 20084
Total consumption , petroleum coke , Montana ,2008,3,23.884, Montana 20083
Total consumption , petroleum coke , Montana ,2008,2,23.884, Montana 20082
Total consumption , petroleum coke , Montana ,2008,1,21.379, Montana 20081
Total consumption , petroleum coke , Montana ,2007,12,22.696, Montana 200712
Total consumption , petroleum coke , Montana ,2007,11,21.54, Montana 200711
Total consumption , petroleum coke , Montana ,2007,10,22.116, Montana 200710
Total consumption , petroleum coke , Montana ,2007,9,22.149, Montana 20079
Total consumption , petroleum coke , Montana ,2007,8,13.57, Montana 20078
Total consumption , petroleum coke , Montana ,2007,7,14.825, Montana 20077
Total consumption , petroleum coke , Montana ,2007,6,20.348, Montana 20076
Total consumption , petroleum coke , Montana ,2007,5,22.906, Montana 20075
Total consumption , petroleum coke , Montana ,2007,4,20.984, Montana 20074
Total consumption , petroleum coke , Montana ,2007,3,22.92, Montana 20073
Total consumption , petroleum coke , Montana ,2007,2,21.276, Montana 20072
Total consumption , petroleum coke , Montana ,2007,1,23.385, Montana 20071
Total consumption , petroleum coke , Montana ,2006,12,23.507, Montana 200612
Total consumption , petroleum coke , Montana ,2006,11,21.925, Montana 200611
Total consumption , petroleum coke , Montana ,2006,10,21.545, Montana 200610
Total consumption , petroleum coke , Montana ,2006,9,21.292, Montana 20069
Total consumption , petroleum coke , Montana ,2006,8,12.323, Montana 20068
Total consumption , petroleum coke , Montana ,2006,7,20.263, Montana 20067
Total consumption , petroleum coke , Montana ,2006,6,21.05, Montana 20066
Total consumption , petroleum coke , Montana ,2006,5,20.21, Montana 20065
Total consumption , petroleum coke , Montana ,2006,4,22.548, Montana 20064
Total consumption , petroleum coke , Montana ,2006,3,23.099, Montana 20063
Total consumption , petroleum coke , Montana ,2006,2,23.989, Montana 20062
Total consumption , petroleum coke , Montana ,2006,1,23.967, Montana 20061
Total consumption , petroleum coke , Montana ,2005,12,24.223, Montana 200512
Total consumption , petroleum coke , Montana ,2005,11,23.091, Montana 200511
Total consumption , petroleum coke , Montana ,2005,10,23.433, Montana 200510
Total consumption , petroleum coke , Montana ,2005,9,20.738, Montana 20059
Total consumption , petroleum coke , Montana ,2005,8,12.011, Montana 20058
Total consumption , petroleum coke , Montana ,2005,7,17.53, Montana 20057
Total consumption , petroleum coke , Montana ,2005,6,20.181, Montana 20056
Total consumption , petroleum coke , Montana ,2005,5,20.048, Montana 20055
Total consumption , petroleum coke , Montana ,2005,4,20.474, Montana 20054
Total consumption , petroleum coke , Montana ,2005,3,24.177, Montana 20053
Total consumption , petroleum coke , Montana ,2005,2,21.636, Montana 20052
Total consumption , petroleum coke , Montana ,2005,1,24.052, Montana 20051
Total consumption , petroleum coke , Montana ,2004,12,24.163, Montana 200412
Total consumption , petroleum coke , Montana ,2004,11,17.763, Montana 200411
Total consumption , petroleum coke , Montana ,2004,10,23.364, Montana 200410
Total consumption , petroleum coke , Montana ,2004,9,22.121, Montana 20049
Total consumption , petroleum coke , Montana ,2004,8,22.779, Montana 20048
Total consumption , petroleum coke , Montana ,2004,7,21.735, Montana 20047
Total consumption , petroleum coke , Montana ,2004,6,17.616, Montana 20046
Total consumption , petroleum coke , Montana ,2004,5,23.706, Montana 20045
Total consumption , petroleum coke , Montana ,2004,4,22.645, Montana 20044
Total consumption , petroleum coke , Montana ,2004,3,24.085, Montana 20043
Total consumption , petroleum coke , Montana ,2004,2,22.785, Montana 20042
Total consumption , petroleum coke , Montana ,2004,1,24.029, Montana 20041
Total consumption , petroleum coke , Montana ,2003,12,5.977, Montana 200312
Total consumption , petroleum coke , Montana ,2003,11,1.339, Montana 200311
Total consumption , petroleum coke , Montana ,2003,10,20.654, Montana 200310
Total consumption , petroleum coke , Montana ,2003,9,28.063, Montana 20039
Total consumption , petroleum coke , Montana ,2003,8,21.916, Montana 20038
Total consumption , petroleum coke , Montana ,2003,7,19.141, Montana 20037
Total consumption , petroleum coke , Montana ,2003,6,22.06, Montana 20036
Total consumption , petroleum coke , Montana ,2003,5,25.19, Montana 20035
Total consumption , petroleum coke , Montana ,2003,4,22.805, Montana 20034
Total consumption , petroleum coke , Montana ,2003,3,23.931, Montana 20033
Total consumption , petroleum coke , Montana ,2003,2,21.755, Montana 20032
Total consumption , petroleum coke , Montana ,2003,1,24.541, Montana 20031
Total consumption , petroleum coke , Montana ,2002,12,25.747, Montana 200212
Total consumption , petroleum coke , Montana ,2002,11,17.097, Montana 200211
Total consumption , petroleum coke , Montana ,2002,10,14.555, Montana 200210
Total consumption , petroleum coke , Montana ,2002,9,0, Montana 20029
Total consumption , petroleum coke , Montana ,2002,8,6.619, Montana 20028
Total consumption , petroleum coke , Montana ,2002,7,23.977, Montana 20027
Total consumption , petroleum coke , Montana ,2002,6,22.14, Montana 20026
Total consumption , petroleum coke , Montana ,2002,5,22.13, Montana 20025
Total consumption , petroleum coke , Montana ,2002,4,36.409, Montana 20024
Total consumption , petroleum coke , Montana ,2002,3,30.621, Montana 20023
Total consumption , petroleum coke , Montana ,2002,2,20.985, Montana 20022
Total consumption , petroleum coke , Montana ,2002,1,28.656, Montana 20021
Total consumption , petroleum coke , Montana ,2001,12,26.98, Montana 200112
Total consumption , petroleum coke , Montana ,2001,11,33.12, Montana 200111
