64,Bytom,BTM,"$94,066,923 ",$0.10 ,"987,000,000 *","$110,730 ",-0.02%,-5.66%,17.83%
65,Gnosis,GNO,"$92,282,198 ",$83.54 ,"1,104,590 *","$696,843 ",1.44%,-11.37%,-27.35%
66,Bancor,BNT,"$92,222,117 ",$2.26 ,"40,772,871 *","$723,266 ",-0.10%,-6.05%,-1.22%
67,SingularDTV,SNGLS,"$87,767,400 ",$0.15 ,"600,000,000 *","$926,712 ",-0.30%,-5.43%,-3.95%
68,MCAP,MCAP,"$86,629,719 ",$2.26 ,"38,295,641 *","$396,818 ",1.09%,-1.66%,-14.25%
69,Regalcoin,REC,"$80,446,085 ",$28.63 ,"2,810,000","$2,799,640 ",-0.61%,-9.29%,112.88%
70,ATMChain,ATM,"$79,420,808 ",$0.03 ,"2,401,437,109 *","$244,931 ",0.64%,11.35%,31.08%
71,Syscoin,SYS,"$78,848,022 ",$0.15 ,"528,195,860","$380,876 ",-0.76%,-3.56%,9.70%
72,DigiByte,DGB,"$78,147,443 ",$0.01 ,"8,742,253,657","$2,084,710 ",0.14%,-7.59%,-28.23%
73,Nexus,NXS,"$77,686,757 ",$1.46 ,"53,106,078","$250,782 ",0.80%,-9.61%,6.29%
74,Verge,XVG,"$74,817,773 ",$0.01 ,"14,115,522,190","$3,200,720 ",-2.04%,5.66%,-7.87%
75,Aeternity,AE,"$73,185,206 ",$0.31 ,"233,020,472 *","$312,938 ",-0.61%,-4.35%,-19.80%
76,Pura,PURA,"$70,936,742 ",$0.41 ,"171,491,424","$156,099 ",1.34%,-7.39%,-18.95%
77,Monaco,MCO,"$69,928,041 ",$7.12 ,"9,814,875 *","$1,831,260 ",0.55%,-3.80%,-0.76%
78,Bitdeal,BDL,"$69,076,291 ",$0.44 ,"156,209,812","$83,895 ",1.01%,-6.34%,26.47%
79,Nxt,NXT,"$65,544,186 ",$0.07 ,"998,999,942 *","$3,710,760 ",0.37%,-3.67%,-7.02%
80,GXShares,GXS,"$65,100,380 ",$1.61 ,"40,510,000 *","$77,827 ",0.24%,-8.99%,-14.04%
81,VeChain,VEN,"$63,678,019 ",$0.23 ,"278,708,913 *","$437,819 ",4.95%,0.84%,-15.52%
82,Centra,CTR,"$58,008,352 ",$0.85 ,"68,000,000 *","$775,041 ",0.34%,-5.54%,-26.11%
83,Vertcoin,VTC,"$55,258,203 ",$1.37 ,"40,342,700","$2,050,840 ",1.47%,3.39%,16.22%
84,Aragon,ANT,"$53,414,687 ",$1.63 ,"32,832,390 *","$362,096 ",1.59%,-3.34%,-5.38%
85,Kin,KIN,"$53,162,883 ",$0.00 ,"756,097,560,976 *","$87,724 ",1.78%,-0.91%,-16.48%
86,Enigma,ENG,"$48,533,278 ",$0.65 ,"74,836,171 *","$1,559,770 ",1.75%,-11.27%,?
87,Loopring,LRC,"$48,471,889 ",$0.17 ,"286,170,756 *","$319,469 ",-0.42%,-7.45%,-7.00%
88,AdEx,ADX,"$47,945,669 ",$0.85 ,"56,325,759 *","$2,503,090 ",0.17%,-3.01%,-15.01%
89,I/O Coin,IOC,"$47,882,298 ",$2.92 ,"16,372,983 *","$91,505 ",1.14%,-4.46%,-0.82%
90,Particl,PART,"$46,003,496 ",$5.95 ,"7,738,170 *","$154,511 ",-0.08%,-4.47%,0.24%
91,Ubiq,UBQ,"$43,848,570 ",$1.14 ,"38,366,395","$211,412 ",0.36%,-1.23%,-17.15%
92,TaaS,TAAS,"$43,438,875 ",$5.33 ,"8,146,001 *","$294,088 ",0.75%,-4.07%,20.95%
93,Bitquence,BQX,"$42,410,174 ",$0.59 ,"71,637,960 *","$541,724 ",0.04%,-2.24%,14.19%
94,Sprouts,SPRTS,"$42,408,350 ",$0.00 ,"772,058,964,952 *","$3,212 ",0.20%,74.83%,936.51%
95,Melon,MLN,"$42,343,294 ",$70.64 ,"599,400 *","$227,575 ",0.33%,-3.51%,2.19%
96,MobileGo,MGO,"$40,926,178 ",$0.42 ,"98,028,887 *","$158,650 ",3.08%,8.57%,-23.53%
97,Edgeless,EDG,"$40,368,497 ",$0.49 ,"82,046,288 *","$536,427 ",0.46%,-3.06%,-14.95%
98,NAV Coin,NAV,"$39,645,974 ",$0.64 ,"61,896,834 *","$291,408 ",1.49%,-1.41%,0.06%
99,Wings,WINGS,"$39,164,864 ",$0.44 ,"89,708,333 *","$267,100 ",0.62%,-8.67%,-13.81%
100,ATBCoin,ATB,"$38,611,925 ",$1.01 ,"38,319,927","$746,261 ",-2.17%,-4.32%,6.65%
101,SONM,SNM,"$37,763,034 ",$0.11 ,"359,600,000 *","$712,653 ",0.24%,-6.28%,-22.81%
102,Storj,STORJ,"$36,679,817 ",$0.37 ,"99,358,868 *","$151,634 ",-1.58%,-7.23%,-0.49%
103,iExec RLC,RLC,"$36,308,359 ",$0.46 ,"79,070,793 *","$138,879 ",0.74%,-10.75%,-9.96%
104,Gulden,NLG,"$36,259,341 ",$0.10 ,"354,482,845","$291,750 ",-0.85%,4.58%,-9.28%
105,NoLimitCoin,NLC2,"$35,118,509 ",$0.17 ,"203,947,342 *","$30,306 ",-3.92%,-4.84%,14.87%
106,Dentacoin,DCN,"$33,549,614 ",$0.00 ,"303,095,254,787 *","$50,277 ",-1.35%,-20.84%,-7.84%
107,FairCoin,FAIR,"$33,311,413 ",$0.63 ,"53,193,831 *","$124,417 ",0.16%,2.83%,-9.41%
108,Decentraland,MANA,"$33,094,741 ",$0.01 ,"2,273,755,650 *","$3,650,870 ",1.67%,-32.64%,6.23%
109,ReddCoin,RDD,"$31,606,773 ",$0.00 ,"28,643,074,083 *","$764,814 ",-5.82%,3.28%,7.33%
110,Rise,RISE,"$31,511,756 ",$0.28 ,"113,139,200 *","$453,126 ",-1.24%,-7.05%,-0.57%
111,Moeda Loyalty...,MDA,"$31,089,214 ",$1.58 ,"19,628,888 *","$401,931 ",5.62%,-8.62%,-33.72%
112,Peercoin,PPC,"$30,866,835 ",$1.27 ,"24,384,660","$567,278 ",0.39%,-3.16%,-3.89%
113,ZCoin,XZC,"$30,503,721 ",$9.48 ,"3,218,554","$306,802 ",0.73%,-1.01%,-2.65%
114,Quantum Resis...,QRL,"$30,489,212 ",$0.59 ,"52,000,000 *","$204,500 ",0.21%,-0.75%,8.83%
115,district0x,DNT,"$30,462,300 ",$0.05 ,"600,000,000 *","$5,993,470 ",-7.91%,38.29%,23.87%
116,CloakCoin,CLOAK,"$29,404,927 ",$5.75 ,"5,116,312 *","$204,523 ",-0.36%,-9.65%,3.83%
117,KickCoin,KICK,"$29,362,013 ",$0.09 ,"321,137,782 *","$930,096 ",2.26%,-10.56%,-0.40%
118,Neblio,NEBL,"$27,536,301 ",$2.21 ,"12,463,361 *","$164,991 ",12.81%,-8.53%,7.90%
119,Cofound.it,CFI,"$27,458,015 ",$0.08 ,"325,000,000 *","$180,271 ",1.23%,-6.80%,-16.20%
120,Aeon,AEON,"$27,289,068 ",$1.86 ,"14,651,140","$896,845 ",-1.07%,3.81%,-9.55%
121,TokenCard,TKN,"$27,279,330 ",$1.15 ,"23,644,056 *","$219,980 ",0.31%,-2.15%,-15.53%
122,Rubycoin,RBY,"$27,274,602 ",$1.10 ,"24,873,330 *","$2,127,870 ",3.25%,-23.15%,54.88%
123,Cindicator,CND,"$27,246,537 ",$0.02 ,"1,445,976,590 *","$133,267 ",4.05%,-20.49%,?
124,BitBay,BAY,"$26,142,954 ",$0.03 ,"1,007,785,116 *","$361,733 ",-0.17%,26.78%,-4.91%
125,Asch,XAS,"$26,071,950 ",$0.35 ,"75,000,000","$15,977 ",0.18%,12.68%,1.46%
126,Elastic,XEL,"$25,944,611 ",$0.30 ,"86,976,062 *","$237,459 ",-2.34%,-4.82%,-11.71%
127,WeTrust,TRST,"$25,002,473 ",$0.27 ,"92,147,500 *","$195,434 ",-1.20%,-5.14%,-20.26%
128,Compcoin,CMP,"$24,888,437 ",$5.80 ,"4,288,618","$58,420 ",2.55%,4.36%,14.32%
129,Blackmoon Crypto,BMC,"$24,768,035 ",$0.82 ,"30,049,251 *","$521,550 ",0.72%,1.98%,4.70%
130,Viacoin,VIA,"$23,913,303 ",$1.05 ,"22,857,733","$280,295 ",0.77%,5.98%,-1.48%
131,Credo,CREDO,"$23,524,092 ",$0.04 ,"549,891,703 *","$7,633 ",37.03%,-22.13%,-31.37%
132,SmartCash,SMART,"$23,464,554 ",$0.03 ,"677,921,388 *","$49,102 ",-3.70%,17.74%,71.30%
133,Tierion,TNT,"$23,387,357 ",$0.06 ,"422,513,667 *","$265,803 ",0.28%,-5.49%,-15.80%
134,Substratum,SUB,"$23,321,785 ",$0.10 ,"226,091,449 *","$377,273 ",-0.29%,-9.32%,-27.60%
135,Everex,EVX,"$22,860,750 ",$1.39 ,"16,500,000 *","$505,735 ",1.51%,-7.01%,?
136,DECENT,DCT,"$22,631,424 ",$0.44 ,"51,306,089 *","$72,592 ",-2.18%,7.47%,-15.27%
137,FirstBlood,1ST,"$22,226,268 ",$0.26 ,"85,558,371 *","$323,884 ",1.43%,-6.34%,-22.20%
138,Counterparty,XCP,"$21,877,030 ",$8.36 ,"2,617,609 *","$127,954 ",0.28%,-9.41%,0.07%
139,The ChampCoin,TCC,"$21,795,430 ",$0.13 ,"164,925,727 *","$59,162 ",-0.55%,-3.90%,23.22%
140,Diamond,DMD,"$21,595,018 ",$8.75 ,"2,468,631","$215,558 ",0.47%,-12.59%,-8.37%
141,LEOcoin,LEO,"$20,668,895 ",$0.23 ,"91,707,281 *","$17,906 ",-1.22%,5.39%,24.01%
142,PayPie,PPP,"$20,266,703 ",$0.25 ,"82,500,000 *","$102,619 ",0.25%,-3.28%,?
143,ION,ION,"$20,232,834 ",$1.20 ,"16,925,718 *","$47,413 ",2.24%,-4.80%,-10.23%
144,Monetha,MTH,"$20,135,776 ",$0.09 ,"216,819,832 *","$340,184 ",-2.82%,-13.46%,-20.31%
145,SIBCoin,SIB,"$19,822,676 ",$1.27 ,"15,622,922","$64,349 ",0.89%,-7.99%,-7.68%
146,Xaurum,XAUR,"$19,626,830 ",$0.15 ,"127,109,364 *","$74,828 ",-0.50%,-4.50%,-2.82%
147,CoinDash,CDT,"$19,418,548 ",$0.03 ,"555,015,474 *","$193,286 ",-0.19%,-10.76%,-18.90%
148,XPlay,XPA,"$19,415,300 ",$0.02 ,"1,000,000,000 *","$1,380 ",0.15%,-5.76%,24.80%
149,Emercoin,EMC,"$19,347,872 ",$0.47 ,"40,845,785","$185,590 ",-0.01%,-4.73%,-16.12%
150,Target Coin,TGT,"$19,309,945 ",$0.02 ,"952,429,892 *","$4,823 ",-26.24%,-18.17%,-31.70%
151,Triggers,TRIG,"$19,309,867 ",$0.60 ,"32,105,578 *","$1,473,160 ",13.47%,46.15%,16.71%
152,Patientory,PTOY,"$19,204,080 ",$0.27 ,"70,000,000 *","$307,230 ",-0.79%,-4.94%,-2.63%
153,Crown,CRW,"$19,066,647 ",$1.22 ,"15,620,205","$58,080 ",-0.83%,-3.87%,-12.45%
154,Einsteinium,EMC2,"$18,920,268 ",$0.09 ,"214,749,980","$1,652,590 ",0.04%,-8.34%,13.35%
155,Etheroll,DICE,"$18,712,257 ",$2.67 ,"7,001,623 *","$36,344 ",-2.73%,4.65%,-9.05%
156,Skycoin,SKY,"$18,341,592 ",$3.09 ,"5,933,198 *","$2,440 ",0.14%,-8.27%,3.34%
